"feature.set","accuracy","se","cilo","cihi"
"naive",0.38135593220339,0.0580746447243682,0.267531720128669,0.495180144278111
"mir",0.220338983050847,0.000509426708108487,0.219340525050192,0.221337441051503
"mir.panteli",0.305084745762712,0.157922279513633,-0.00443723444047611,0.6146067259659
"expert",0.415254237288136,0.03718814969192,0.342366803240288,0.488141671335983
"transcription",0.296610169491525,0.0550180844757173,0.188776705420737,0.404443633562313
"nocontext",0.372881355932203,0.0708103124270805,0.234095693841097,0.51166701802331
