"feature.set","accuracy","se","cilo","cihi"
"naive",0.406779661016949,0.104140829446673,0.202667385981341,0.610891936052557
"mir",0.330508474576271,0.0509102448841876,0.230726228159149,0.430290720993393
"mir.panteli",0.364406779661017,0.061896913915683,0.243091057632102,0.485722501689932
"expert",0.432203389830508,0.108611970101132,0.219327840142349,0.645078939518668
"transcription",0.38135593220339,0.0778712843223189,0.228731019501766,0.533980844905013
"nocontext",0.508474576271186,0.1060348272193,0.300650133814431,0.716299018727941
