"","type","length","name","instances","proportion","songs","proportion.cumulative","region.rank","region","global.rank","proportion.zm"
"1071","relative pitch",2,"+0",2991,0.325295236047957,20,0.325295236047957,1,"Africa",1,0.344842361261792
"1072","relative pitch",2,"-2",1806,0.187896665582685,20,0.513191901630642,2,"Africa",2,0.17084697969154
"1073","relative pitch",2,"+2",868,0.0781626293774288,20,0.591354531008071,3,"Africa",3,0.104274170057164
"1074","relative pitch",2,"-3",481,0.0595562654965586,17,0.65091079650463,4,"Africa",4,0.0712310369236038
"1075","relative pitch",2,"-1",396,0.0456615632106899,14,0.69657235971532,5,"Africa",6,0.0522223564179769
"1076","relative pitch",2,"+3",327,0.0454053386324758,18,0.741977698347795,6,"Africa",5,0.0401897133802555
"1077","relative pitch",2,"-7",232,0.0326973174290498,16,0.774675015776845,7,"Africa",8,0.032043464611053
"1078","relative pitch",2,"+9",245,0.0294749287037541,8,0.804149944480599,8,"Africa",15,0.0262463040552566
"1079","relative pitch",2,"+7",218,0.0292002580131992,16,0.833350202493799,9,"Africa",7,0.0219588590798624
"1080","relative pitch",2,"-4",208,0.0270648202731065,15,0.860415022766905,10,"Africa",9,0.0186892782067028
"1081","relative pitch",2,"+10",193,0.0248397027531552,11,0.88525472552006,11,"Africa",13,0.0161328544289494
"1082","relative pitch",2,"-10",116,0.0180910530222423,10,0.903345778542303,12,"Africa",16,0.014092125727883
"1083","relative pitch",2,"+1",171,0.0179550298329895,13,0.921300808375292,13,"Africa",11,0.0124342790964609
"1084","relative pitch",2,"+4",134,0.0178428252556779,15,0.93914363363097,14,"Africa",10,0.0110671469155519
"1085","relative pitch",2,"+5",175,0.017279714416527,15,0.956423348047497,15,"Africa",12,0.00992503963703098
"1086","relative pitch",2,"-5",125,0.0129234160519715,14,0.969346764099469,16,"Africa",14,0.0089600492410134
"1087","relative pitch",2,"-9",65,0.00777655388863576,7,0.977123317988104,17,"Africa",19,0.00813652775186305
"1088","relative pitch",2,"+11",47,0.00683769453243145,6,0.983961012520536,18,"Africa",17,0.00742747733292323
"1089","relative pitch",2,"-11",25,0.00455579061797339,4,0.988516803138509,19,"Africa",18,0.00681212867071447
"1090","relative pitch",2,"+6",27,0.00402353839605911,6,0.992540341534568,20,"Africa",23,0.00627427910842758
"1091","relative pitch",2,"-6",23,0.00309738498384824,4,0.995637726518417,21,"Africa",22,0.00580112880656372
"1092","relative pitch",2,"-8",25,0.00238556309609783,5,0.998023289614514,22,"Africa",20,0.00538245072326669
"1093","relative pitch",2,"+8",20,0.00197671038548563,7,1,23,"Africa",21,0.00500998887414436
"4153","relative pitch",2,"+0",1495,0.324285390340462,16,0.324285390340462,1,"Asia",1,0.294317162202191
"4154","relative pitch",2,"-2",695,0.140505827346944,14,0.464791217687407,2,"Asia",2,0.154419805085219
"4155","relative pitch",2,"+2",449,0.0773691057788713,12,0.542160323466278,3,"Asia",3,0.0998367324216791
"4156","relative pitch",2,"-3",252,0.0615527978238524,14,0.60371312129013,4,"Asia",4,0.071778297671166
"4157","relative pitch",2,"+3",226,0.0510127846280666,14,0.654725905918197,5,"Asia",5,0.0550422480527108
"4158","relative pitch",2,"-7",268,0.0460721770917639,11,0.700798083009961,6,"Asia",8,0.0440783557755558
"4159","relative pitch",2,"+7",164,0.0381139209381876,11,0.738912003948149,7,"Asia",7,0.0364155701370553
"4160","relative pitch",2,"+4",218,0.0361915530237837,12,0.775103556971932,8,"Asia",10,0.0307997827685858
"4161","relative pitch",2,"-5",101,0.0347521436695175,10,0.80985570064145,9,"Asia",14,0.026532072455928
"4162","relative pitch",2,"-4",192,0.0345752408785472,9,0.844430941519997,10,"Asia",9,0.0231944979696477
"4163","relative pitch",2,"-1",218,0.0328884887179516,9,0.877319430237949,11,"Asia",6,0.0205229924351222
"4164","relative pitch",2,"+5",100,0.0303425118162722,13,0.907661942054221,12,"Asia",12,0.0183431584809819
"4165","relative pitch",2,"+1",165,0.0232927857937731,9,0.930954727847994,13,"Asia",11,0.0165355490572232
"4166","relative pitch",2,"+10",63,0.0137879477754898,7,0.944742675623484,14,"Asia",13,0.0150158215915517
"4167","relative pitch",2,"-10",53,0.0136248306940954,6,0.958367506317579,15,"Asia",16,0.013722858510442
"4168","relative pitch",2,"+9",81,0.0104129005806761,5,0.968780406898255,16,"Asia",15,0.0126113737571918
"4169","relative pitch",2,"-11",40,0.00790268084634984,2,0.976683087744605,17,"Asia",18,0.0116471550617627
"4170","relative pitch",2,"+8",29,0.00739195138682234,6,0.984075039131427,18,"Asia",21,0.010803912439393
"4171","relative pitch",2,"-8",27,0.00712502712177295,6,0.9912000662532,19,"Asia",20,0.0100611370951336
"4172","relative pitch",2,"+11",24,0.00483153526840861,3,0.996031601521609,20,"Asia",17,0.0094026138872942
"4173","relative pitch",2,"-6",9,0.00183337166300628,3,0.997864973184615,21,"Asia",22,0.00881536708589525
"4174","relative pitch",2,"-9",8,0.0010798237911162,4,0.998944796975732,22,"Asia",19,0.00828889978221135
"4175","relative pitch",2,"+6",5,0.0010552030242684,2,1,23,"Asia",23,0.00781463627605859
"7235","relative pitch",2,"+0",751,0.261353017547756,9,0.261353017547756,1,"Europe",1,0.283634858892868
"7236","relative pitch",2,"-2",657,0.244730574684798,10,0.506083592232555,2,"Europe",2,0.19009169734151
"7237","relative pitch",2,"+2",444,0.147846190849462,10,0.653929783082017,3,"Europe",3,0.131480401099568
"7238","relative pitch",2,"-1",272,0.0837425275822076,8,0.737672310664225,4,"Europe",6,0.0934225816083183
"7239","relative pitch",2,"+1",227,0.0622367013043022,8,0.799909011968527,5,"Europe",11,0.0679427839253923
"7240","relative pitch",2,"-3",106,0.0352558474050971,5,0.835164859373624,6,"Europe",4,0.0504252119836143
"7241","relative pitch",2,"+3",64,0.0248420843001741,6,0.860006943673798,7,"Europe",5,0.0380985900376002
"7242","relative pitch",2,"+4",64,0.0224378532707077,6,0.882444796944506,8,"Europe",10,0.0292448820212438
"7243","relative pitch",2,"-10",55,0.0223712003455425,4,0.904815997290048,9,"Europe",16,0.0227685025203027
"7244","relative pitch",2,"+10",47,0.0176542432065752,4,0.922470240496623,10,"Europe",13,0.0179530688636295
"7245","relative pitch",2,"+7",50,0.0165140606657409,6,0.938984301162364,11,"Europe",7,0.0143195397063936
"7246","relative pitch",2,"-4",72,0.0156530887877697,5,0.954637389950134,12,"Europe",9,0.0115410639190216
"7247","relative pitch",2,"+5",25,0.00927810927417089,5,0.963915499224305,13,"Europe",12,0.00939053075295233
"7248","relative pitch",2,"-9",13,0.0069964128888614,2,0.970911912113166,14,"Europe",19,0.00770749999179819
"7249","relative pitch",2,"+9",17,0.00648150611741013,4,0.977393418230576,15,"Europe",15,0.00637690512991451
"7250","relative pitch",2,"+11",28,0.00587916263368011,3,0.983272580864257,16,"Europe",17,0.00531507109157835
