"dim","country","mean.est","mean.cilo","mean.cihi","mean.pval","sd.est","sd.cilo","sd.cihi","distr.lo","distr.hi","other.country.mean","nstations","nstationyears"
"q.1","AC",0.481715751749792,-0.585989272703783,1.57847821318348,0.378,0.323819396158469,0.0189609650898927,0.883152480430202,-0.316362199527298,1.33174650676308,-0.000178114391600031,1,2
"q.1","AL",0.575451767963982,0.332191530869515,0.821481562329876,0,0.384778200976019,0.277405600096041,0.496013054115176,-0.190116652698403,1.3186408978797,-0.00429742163735555,3,36
"q.1","AO",0.731863058635184,-0.0715134281497141,1.57032446032478,0.0798000000000001,0.337595610085583,0.0625173658001757,0.692343433582965,0.0061648575775155,1.47407985929513,-0.000430372982074274,2,3
"q.1","AQ",0.821744016393677,0.573844246776149,1.07764195182038,0,0.565816798620047,0.419668607444135,0.74854989109201,-0.45711100226228,1.7016318984227,-0.00741065082228171,9,42
"q.1","BD",0.710175777925328,0.373757548552263,1.04995306813137,0,0.35046497248937,0.190232157399673,0.575505268642537,-0.202249541278239,1.28682049255,-0.00296175616601779,2,20
"q.1","BF",0.820189342351503,0.507097138016855,1.1414710504942,0,0.44043697999566,0.294332534812989,0.623701958287479,-0.274612248360357,1.60693880139023,-0.00398796917040972,7,23
"q.1","BH",0.622328102724483,-1.26633351237244,2.50918053403166,0.5104,NA,NA,NA,-0.933496905989551,1.99566990729245,-8.31006012390528e-05,1,1
"q.1","BK",-0.748749420502392,-0.939270133147094,-0.559064859699359,0,0.734447792736783,0.638496379398675,0.835698768228761,-2.15325526763836,0.793279638931724,0.0103247297224486,6,64
"q.1","BP",0.964597839789992,-0.333642713388709,2.2280323766155,0.1586,0.591103555063595,0.0205511467970712,1.75746060539238,-0.585995207547057,2.31564409839605,-0.000330468748738818,2,2
"q.1","BY",-0.0219388248946426,-0.46547292283099,0.438650734176785,0.921,0.779875228950425,0.496560421241111,1.0114454546689,-1.54273193261979,1.54395907783139,1.28076934072039e-05,2,16
"q.1","CI",-0.23379791376349,-0.579942672260978,0.0833563338645696,0.1622,1.07366164467698,0.814487331073063,1.38649624989301,-3.05267248553316,1.5724453392897,0.00145857277551894,14,29
"q.1","CK",1.03048607530572,0.726765851727271,1.33012021058754,0,0.296368295627772,0.206376053458774,0.397681052281193,0.273756281960982,1.52549443846588,-0.00477765710685435,1,22
"q.1","CQ",0.662368819439344,0.368289922913256,0.941273353887937,0,0.573906831476633,0.435559898865515,0.76904198144653,-0.54945930914403,1.52249318203709,-0.00450964380186612,8,32
"q.1","CY",0.490959028497841,0.355465819284403,0.61317137300641,0,0.705929108034733,0.598133051439362,0.792051880501409,-1.01404797278181,1.97607949086849,-0.0217684851484161,8,200
"q.1","DR",0.98327336754653,0.400382572432712,1.56651852420548,0.00140000000000007,0.401826662842976,0.150414769820394,0.737529688238669,-0.0459819675925833,1.67670105717742,-0.00120546906150418,3,6
"q.1","EC",0.482013398734127,0.152362932859447,0.794298848693414,0.00439999999999996,0.837451894010509,0.675312307074131,1.03134358513502,-1.22050861940082,2.12968869950521,-0.00333087187498477,4,33
"q.1","EI",-0.509689166143467,-0.628841609841631,-0.388865748732308,0,0.431669762385219,0.368366061637546,0.518965820604558,-1.62464572696685,0.229910352275191,0.0240982033273058,12,213
"q.1","FP",0.432150035148603,0.0796517078082285,0.775328313210998,0.0147999999999999,0.854376871328883,0.627018024774595,1.1087301514236,-1.2941187460417,2.03946994197721,-0.00264486859728597,8,29
"q.1","GI",0.501681966118615,-0.146197023830385,1.18614846895052,0.1366,0.601611543143709,0.291531885115957,0.992125236958138,-0.766801522780441,1.8839969169276,-0.000645890474684474,1,6
"q.1","GT",0.588190136823917,-0.218272216819968,1.41518957005848,0.1518,0.774134022020845,0.311369375649685,1.19036127651677,-0.989742590811777,2.21538207295849,-0.000581097942295805,1,5
"q.1","IC",-1.22605107186394,-1.36283038418114,-1.07883406966358,0,0.264746340149826,0.22382301254892,0.303244382212953,-1.74848788060553,-0.693604100443515,0.0442915626433478,10,164
"q.1","ID",0.939046787073359,0.74657986921949,1.11892838953007,0,0.445959355811388,0.365035379062747,0.537667475942024,0.0576293359480565,1.74898337616258,-0.0174655730988706,49,86
"q.1","IO",1.18796245391569,0.699734005565607,1.69522890560951,0,0.195850304166728,0.0868554032736659,0.316837038311944,0.747983886049126,1.60757564542397,-0.00172234606636112,1,7
"q.1","IR",0.0811064614596332,-0.0325982827077712,0.194180737896273,0.1502,0.561037912662314,0.495311360176129,0.614710359541025,-1.07798094640616,1.23122630721044,-0.00320214632339045,31,186
"q.1","JM",1.09063927009656,0.682900154548816,1.50156758536247,0,0.385054973869462,0.23630871756184,0.601151246532621,0.194945824328599,1.75800250666181,-0.00293696361921398,2,13
"q.1","JO",0.742063053027633,0.148314494878208,1.33900301131822,0.0164,0.407756179308488,0.182382881567645,0.661519308765046,-0.0597055559728349,1.56310716622427,-0.000911350342812275,3,6
"q.1","KE",0.628714850367043,0.407149231664077,0.861585263005309,0,0.835804699068536,0.697741647177671,0.972798140135043,-1.00280789437015,2.2705598007736,-0.0101084083322347,5,74
"q.1","KN",-0.602540140339569,-0.817241542639578,-0.392825622553388,0,0.424722187718047,0.335954893213848,0.514163453849636,-1.4748115738368,0.227249916460491,0.00626356941558449,7,48
"q.1","LA",0.72249966144145,-0.0246417062354088,1.45791041151746,0.0591999999999999,0.554322829918974,0.207994907806763,1.00229035284869,-0.459876786267567,1.83754920659194,-0.00074125017669773,3,5
