"feature.set","accuracy","se","cilo","cihi"
"naive",0.449152542372881,0.0432838922059479,0.36431767253851,0.533987412207253
"mir",0.38135593220339,0.0502463799482629,0.282874837151279,0.479837027255501
"mir.panteli",0.423728813559322,0.0639545550511172,0.298380189011848,0.549077438106796
"expert",0.440677966101695,0.0593584624430873,0.32433751753557,0.557018414667819
"transcription",0.415254237288136,0.0476815266844967,0.321800162258637,0.508708312317635
"nocontext",0.508474576271186,0.0531824884620977,0.404238814277258,0.612710338265115
