"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","nhs",49,NA,NA,NA,"DANCE","indo1319",68
"ANY","null",3.7966,1,8,0,"DANCE","kore1284",42
"ANY","nhs",15,NA,NA,NA,"DANCE","kore1284",42
"ANY","null",5.3298,2,10,0,"DANCE","mata1289",6
"ANY","nhs",24,NA,NA,NA,"DANCE","mata1289",6
"ANY","null",0.0712,0,1,0,"DANCE","maya1287",7
"ANY","nhs",0,NA,NA,NA,"DANCE","maya1287",7
"ANY","null",0.8,0,3,0,"DANCE","nilo1247",9
"ANY","nhs",10,NA,NA,NA,"DANCE","nilo1247",9
"ANY","null",0.0418,0,1,0.0824,"DANCE","saha1256",8
"ANY","nhs",1,NA,NA,NA,"DANCE","saha1256",8
"ANY","null",2.7794,0,6,0.0816,"DANCE","sino1245",49
"ANY","nhs",6,NA,NA,NA,"DANCE","sino1245",49
"ANY","null",0.5112,0,2,0,"DANCE","taik1256",20
"ANY","nhs",5,NA,NA,NA,"DANCE","taik1256",20
"ANY","null",6.0622,2,11,0,"DANCE","tuca1253",14
"ANY","nhs",50,NA,NA,NA,"DANCE","tuca1253",14
"ANY","null",0.865,0,3,4e-04,"DANCE","tupi1275",8
"ANY","nhs",6,NA,NA,NA,"DANCE","tupi1275",8
"ANY","null",0.302,0,2,0,"DANCE","turk1311",13
"ANY","nhs",5,NA,NA,NA,"DANCE","turk1311",13
"ANY","null",0.2672,0,1,0,"DANCE","ural1272",18
"ANY","nhs",6,NA,NA,NA,"DANCE","ural1272",18
"ANY","null",3.4072,0,7,8e-04,"DANCE","utoa1244",7
"ANY","nhs",11,NA,NA,NA,"DANCE","utoa1244",7
"ANY","null",0.3866,0,2,0,"DANCE","yano1268",7
"ANY","nhs",8,NA,NA,NA,"DANCE","yano1268",7
"ANY","null",61.4716,49,75,0,"RELIGION","afro1255",64
"ANY","nhs",89,NA,NA,NA,"RELIGION","afro1255",64
"ANY","null",265.2494,238,294,0,"RELIGION","algi1248",60
"ANY","nhs",410,NA,NA,NA,"RELIGION","algi1248",60
"ANY","null",156.1952,132,182,0.0872,"RELIGION","atha1245",23
"ANY","nhs",179,NA,NA,NA,"RELIGION","atha1245",23
"ANY","null",103.6486,85,122,0,"RELIGION","atla1278",134
"ANY","nhs",151,NA,NA,NA,"RELIGION","atla1278",134
"ANY","null",88.1772,71,106,0.4528,"RELIGION","aust1305",25
"ANY","nhs",82,NA,NA,NA,"RELIGION","aust1305",25
"ANY","null",243.0026,223,264,0.242,"RELIGION","aust1307",48
"ANY","nhs",256,NA,NA,NA,"RELIGION","aust1307",48
"ANY","null",7.7734,3,14,0.184,"RELIGION","ayma1253",11
"ANY","nhs",12,NA,NA,NA,"RELIGION","ayma1253",11
"ANY","null",27.5496,15,41,0.3748,"RELIGION","boro1281",10
"ANY","nhs",22,NA,NA,NA,"RELIGION","boro1281",10
"ANY","null",90.616,73,109,0,"RELIGION","chib1249",34
"ANY","nhs",161,NA,NA,NA,"RELIGION","chib1249",34
"ANY","null",28.1148,17.975,40,0,"RELIGION","chon1288",6
"ANY","nhs",126,NA,NA,NA,"RELIGION","chon1288",6
"ANY","null",14.105,7,21,0,"RELIGION","chuk1271",9
"ANY","nhs",53,NA,NA,NA,"RELIGION","chuk1271",9
"ANY","null",35.6958,25,47,0.2048,"RELIGION","dogo1299",18
"ANY","nhs",29,NA,NA,NA,"RELIGION","dogo1299",18
"ANY","null",8.0972,3,14,4e-04,"RELIGION","eski1264",19
"ANY","nhs",19,NA,NA,NA,"RELIGION","eski1264",19
"ANY","null",33.1364,23,45,0,"RELIGION","indo1319",68
"ANY","nhs",68,NA,NA,NA,"RELIGION","indo1319",68
"ANY","null",63.8592,50,78,0.1508,"RELIGION","kore1284",42
"ANY","nhs",75,NA,NA,NA,"RELIGION","kore1284",42
"ANY","null",9.743,4,16,0.3472,"RELIGION","mata1289",6
"ANY","nhs",13,NA,NA,NA,"RELIGION","mata1289",6
"ANY","null",1.851,0,5,0,"RELIGION","maya1287",7
"ANY","nhs",0,NA,NA,NA,"RELIGION","maya1287",7
"ANY","null",3.2958,0,8,0,"RELIGION","nilo1247",9
