"","type","length","name","instances","proportion","songs","proportion.cumulative","region.rank","region","global.rank","proportion.zm"
"1416","relative rhythm",2,"x1.00",3697,0.449584954576424,20,0.449584954576424,1,"Africa",1,0.401375946269382
"1417","relative rhythm",2,"x2.00",1353,0.149276863621526,20,0.59886181819795,2,"Africa",2,0.192648563932725
"1418","relative rhythm",2,"x0.50",1374,0.143339777930367,20,0.742201596128317,3,"Africa",3,0.108970683135765
"1419","relative rhythm",2,"x3.00",457,0.0475003407255098,18,0.789701936853827,4,"Africa",5,0.0683954534267686
"1420","relative rhythm",2,"x0.33",388,0.0425934873119357,19,0.832295424165763,5,"Africa",4,0.0461258029456535
"1421","relative rhythm",2,"x4.00",247,0.0250059596782938,18,0.857301383844057,6,"Africa",7,0.0327875855585612
"1422","relative rhythm",2,"x0.67",221,0.0220758475988365,15,0.879377231442893,7,"Africa",8,0.0242623856343218
"1423","relative rhythm",2,"x1.50",195,0.021526040299593,16,0.900903271742486,8,"Africa",6,0.0185324837747642
"1424","relative rhythm",2,"x0.25",129,0.011846389923195,16,0.912749661665681,9,"Africa",9,0.0145238605214958
"1425","relative rhythm",2,"x6.00",123,0.0114248277421164,12,0.924174489407797,10,"Africa",10,0.0116262028830421
"1426","relative rhythm",2,"x0.75",78,0.00935873247468747,15,0.933533221882485,11,"Africa",11,0.00947385465025564
"1427","relative rhythm",2,"x0.17",42,0.00633871232977236,10,0.939871934212257,12,"Africa",18,0.00783794438855777
"1428","relative rhythm",2,"x5.00",65,0.00569323160426623,10,0.945565165816524,13,"Africa",14,0.00656984821425667
"1429","relative rhythm",2,"x8.00",60,0.00565336484664193,9,0.951218530663165,14,"Africa",13,0.00556997588285034
"1430","relative rhythm",2,"x1.33",39,0.00535927184224901,11,0.956577802505414,15,"Africa",12,0.00476976051548302
"1431","relative rhythm",2,"x2.50",53,0.00530359661354551,9,0.96188139911896,16,"Africa",23,0.00412086519320265
"1432","relative rhythm",2,"x0.12",49,0.00482255403164433,7,0.966703953150604,17,"Africa",15,0.00358849785480879
"1433","relative rhythm",2,"x0.60",51,0.00456707584802298,5,0.971271028998627,18,"Africa",25,0.00314714927118743
"1434","relative rhythm",2,"x0.40",34,0.00305434426329557,5,0.974325373261923,19,"Africa",22,0.00277780540679277
"1435","relative rhythm",2,"x0.20",25,0.00230389456758844,9,0.976629267829511,20,"Africa",16,0.00246608206392595
"1436","relative rhythm",2,"x4.50",14,0.00214436480906872,4,0.97877363263858,21,"Africa",34,0.00220095087379493
"1437","relative rhythm",2,"x7.00",20,0.00169303401669199,5,0.980466666655272,22,"Africa",19,0.00197385295616049
"1438","relative rhythm",2,"x0.10",15,0.00133891803638043,4,0.981805584691652,23,"Africa",28,0.001778071872903
"1439","relative rhythm",2,"x12.00",18,0.00119439567523419,3,0.982999980366887,24,"Africa",33,0.00160828320134066
"1440","relative rhythm",2,"x0.71",13,0.00105901116427432,2,0.984058991531161,25,"Africa",51,0.00146022643080806
"1441","relative rhythm",2,"x1.67",10,0.000933034044145155,2,0.984992025575306,26,"Africa",41,0.00133046287875834
"1442","relative rhythm",2,"x0.90",11,0.00087719298245614,1,0.985869218557762,27,"Africa",55,0.00121619495085356
"1443","relative rhythm",2,"x3.33",5,0.000866239437062168,2,0.986735457994824,28,"Africa",42,0.00111512971747354
"1444","relative rhythm",2,"x0.11",4,0.000854122621564482,2,0.987589580616389,29,"Africa",40,0.00102537489121356
"1445","relative rhythm",2,"x2.25",5,0.000759472409060514,3,0.988349053025449,30,"Africa",24,0.000945358758550144
"1446","relative rhythm",2,"x0.14",8,0.000735569985569986,2,0.989084623011019,31,"Africa",17,0.000873768005204361
"1447","relative rhythm",2,"x0.06",3,0.000641025641025641,1,0.989725648652045,32,"Africa",36,0.000809499037835312
"1448","relative rhythm",2,"x16.00",3,0.000641025641025641,1,0.990366674293071,33,"Africa",37,0.000751619577791052
"1449","relative rhythm",2,"x0.38",6,0.000594894140753749,3,0.990961568433824,34,"Africa",26,0.000699338139471486
"1450","relative rhythm",2,"x0.44",5,0.000557541288038004,4,0.991519109721862,35,"Africa",31,0.000651979609138439
"1451","relative rhythm",2,"x3.50",6,0.000545454545454545,1,0.992064564267317,36,"Africa",29,0.000608965579250998
"1452","relative rhythm",2,"x9.00",8,0.000512823048034316,2,0.992577387315351,37,"Africa",27,0.000569798416207071
"1453","relative rhythm",2,"x0.09",7,0.00045045045045045,1,0.993027837765802,38,"Africa",47,0.000534048278695147
"1454","relative rhythm",2,"x11.00",7,0.00045045045045045,1,0.993478288216252,39,"Africa",56,0.000501342482770066
"1455","relative rhythm",2,"x0.57",4,0.00042633086185,4,0.993904619078102,40,"Africa",50,0.000471356744566603
"1456","relative rhythm",2,"x0.80",3,0.000376776831498018,3,0.9942813959096,41,"Africa",46,0.000443807933887644
"1457","relative rhythm",2,"x0.22",5,0.000348309348309348,2,0.99462970525791,42,"Africa",30,0.000418448050123517
"1458","relative rhythm",2,"x24.00",5,0.000321420743955955,2,0.994951126001866,43,"Africa",66,0.000395059192155134
"1459","relative rhythm",2,"x1.80",3,0.000315866439190836,2,0.995266992441056,44,"Africa",76,0.000373449340514985
"1460","relative rhythm",2,"x0.30",2,0.000304116284583539,2,0.99557110872564,45,"Africa",80,0.000353448806407541
"1461","relative rhythm",2,"x1.25",3,0.000284698840254396,2,0.995855807565894,46,"Africa",32,0.000334907230661299
"1462","relative rhythm",2,"x0.07",3,0.000272727272727273,1,0.996128534838622,47,"Africa",82,0.000317691038121244
"1463","relative rhythm",2,"x1.75",3,0.000266107494198261,3,0.99639464233282,48,"Africa",49,0.000301681270765326
"1464","relative rhythm",2,"x0.43",3,0.00024583866837388,2,0.996640481001194,49,"Africa",39,0.000286771736981411
"1465","relative rhythm",2,"x0.08",3,0.000230463021160696,2,0.996870944022354,50,"Africa",45,0.000272867425764724
"1466","relative rhythm",2,"x0.83",2,0.000205761316872428,1,0.997076705339227,51,"Africa",84,0.000259883143697616
"1467","relative rhythm",2,"x18.00",3,0.000193050193050193,1,0.997269755532277,52,"Africa",53,0.000247742339922099
"1468","relative rhythm",2,"x3.67",1,0.000190839694656489,1,0.997460595226934,53,"Africa",87,0.000236376090274025
"1469","relative rhythm",2,"x4.33",1,0.000190839694656489,1,0.99765143492159,54,"Africa",43,0.000225722216598829
"1470","relative rhythm",2,"x4.67",1,0.000190839694656489,1,0.997842274616246,55,"Africa",88,0.00021572452123385
"1471","relative rhythm",2,"x0.86",2,0.000181818181818182,1,0.998024092798065,56,"Africa",70,0.000206332119895456
"1472","relative rhythm",2,"x1.40",2,0.000181818181818182,1,0.998205910979883,57,"Africa",90,0.000197498858888108
"1473","relative rhythm",2,"x14.00",2,0.000181818181818182,1,0.998387729161701,58,"Africa",63,0.000189182804766296
"1474","relative rhythm",2,"x2.67",2,0.000166901144991912,2,0.998554630306693,59,"Africa",21,0.00018134579641586
"1475","relative rhythm",2,"x0.89",1,0.000134048257372654,1,0.998688678564066,60,"Africa",73,0.000173953051048245
"1476","relative rhythm",2,"x7.50",1,0.000134048257372654,1,0.998822726821438,61,"Africa",68,0.000166972816875591
"1477","relative rhythm",2,"x30.00",2,0.000128700128700129,1,0.998951426950138,62,"Africa",74,0.000160376066301293
"1478","relative rhythm",2,"x6.50",2,0.000128040973111396,1,0.99907946792325,63,"Africa",92,0.000154136224356206
"1479","relative rhythm",2,"x15.00",3,0.000125104253544621,1,0.999204572176794,64,"Africa",75,0.000148228927864747
"1480","relative rhythm",2,"x0.56",1,0.000102880658436214,1,0.999307452835231,65,"Africa",83,0.000142631811461734
"1481","relative rhythm",2,"x2.33",1,0.000102880658436214,1,0.999410333493667,66,"Africa",52,0.00013732431711972
"1482","relative rhythm",2,"x2.40",1,0.000102880658436214,1,0.999513214152103,67,"Africa",91,0.000132287524304022
"1483","relative rhythm",2,"x3.40",1,0.000102880658436214,1,0.999616094810539,68,"Africa",95,0.000127503998261794
"1484","relative rhythm",2,"x5.33",1,0.000102880658436214,1,0.999718975468975,69,"Africa",96,0.000122957654283497
"1485","relative rhythm",2,"x10.00",1,9.92063492063492e-05,1,0.999818181818182,70,"Africa",48,0.000118633636058935
"1486","relative rhythm",2,"x1.17",1,9.09090909090909e-05,1,0.999909090909091,71,"Africa",81,0.000114518206493226
"1487","relative rhythm",2,"x1.29",1,9.09090909090909e-05,1,1,72,"Africa",98,0.000110598649556977
"1488","relative rhythm",2,"x0.15",0,0,0,1,73,"Africa",85,0.000106863181924727
"1489","relative rhythm",2,"x0.16",0,0,0,1,74,"Africa",77,0.00010330087331079
"1490","relative rhythm",2,"x0.18",0,0,0,1,75,"Africa",69,9.99015745456503e-05
"1491","relative rhythm",2,"x0.21",0,0,0,1,76,"Africa",97,9.66558525521419e-05
"1492","relative rhythm",2,"x0.26",0,0,0,1,77,"Africa",99,9.35549314813584e-05
"1493","relative rhythm",2,"x0.29",0,0,0,1,78,"Africa",38,9.05906393557806e-05
"1494","relative rhythm",2,"x0.35",0,0,0,1,79,"Africa",57,8.77553596433677e-05
"1495","relative rhythm",2,"x0.36",0,0,0,1,80,"Africa",94,8.50419872528818e-05
"1496","relative rhythm",2,"x0.64",0,0,0,1,81,"Africa",58,8.24438884988611e-05
"1497","relative rhythm",2,"x0.73",0,0,0,1,82,"Africa",59,7.99548646355629e-05
"1498","relative rhythm",2,"x0.88",0,0,0,1,83,"Africa",20,7.75691186038351e-05
"1499","relative rhythm",2,"x1.12",0,0,0,1,84,"Africa",64,7.52812246740883e-05
"1500","relative rhythm",2,"x1.14",0,0,0,1,85,"Africa",44,7.30861007030335e-05
