"feature.set","accuracy","se","cilo","cihi"
"naive",0.466101694915254,0.0499978408866306,0.368107727472694,0.564095662357814
"mir",0.364406779661017,0.0475250770158834,0.271259340347393,0.457554218974641
"mir.panteli",0.355932203389831,0.0426245782566364,0.272389565150614,0.439474841629047
"expert",0.432203389830508,0.0844761141420711,0.266633248558155,0.597773531102862
"transcription",0.423728813559322,0.0950239407714071,0.237485311978297,0.609972315140347
"nocontext",0.449152542372881,0.0442505080392835,0.362423140318286,0.535881944427477
