"comparison","n","accuracy","se","baseline","function1","function2","cilo","cihi","p","p.adj"
"Dance (-) vs Healing (+)",58,0.706896551724138,0.0822549270005938,0.500594530321046,"Dance","Healing",0.545679857252003,0.868113246196273,0.0121388829625326,0.0446103948873074
"Dance (-) vs Love (+)",60,0.783333333333333,0.0815180809157357,0.5,"Dance","Love",0.623560830649669,0.943105836016997,0.000509500017874753,0.00374482513137944
"Dance (-) vs Lullaby (+)",60,0.816666666666667,0.0638189861545172,0.5,"Dance","Lullaby",0.691583752273953,0.941749581059381,6.9788690915118e-07,1.02589375645223e-05
"Healing (-) vs Love (+)",58,0.689655172413793,0.0878535939404528,0.500594530321046,"Healing","Love",0.517465292378099,0.861845052449487,0.0313976162026743,0.0863213645694132
"Healing (-) vs Lullaby (+)",58,0.706896551724138,0.0740012869900955,0.500594530321046,"Healing","Lullaby",0.561856694413938,0.851936409034338,0.00530645639969229,0.0260016363584922
"Love (-) vs Lullaby (+)",60,0.683333333333333,0.087066594558212,0.5,"Love","Lullaby",0.512685943742687,0.85398072292398,0.0352332100283319,0.0863213645694132
