"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",10.9108,5,18,0.0316000000000001,"LOVE","South America",88
"ANY","nhs",5,NA,NA,NA,"LOVE","South America",88
"ANY","null",121.3472,107,136,0.0068,"PLAY","Africa",233
"ANY","nhs",142,NA,NA,NA,"PLAY","Africa",233
"ANY","null",29.008,19,40,0,"PLAY","Asia",215
"ANY","nhs",71,NA,NA,NA,"PLAY","Asia",215
"ANY","null",4.883,1,10,0.0684,"PLAY","Europe",62
"ANY","nhs",10,NA,NA,NA,"PLAY","Europe",62
"ANY","null",10.2608,5,16,0.144,"PLAY","Middle America and the Caribbean",37
"ANY","nhs",7,NA,NA,NA,"PLAY","Middle America and the Caribbean",37
"ANY","null",0.249,0,2,0,"PLAY","Middle East",6
"ANY","nhs",0,NA,NA,NA,"PLAY","Middle East",6
"ANY","null",25.6172,16,36,0.008,"PLAY","North America",102
"ANY","nhs",40,NA,NA,NA,"PLAY","North America",102
"ANY","null",13.7866,7,22,0.5684,"PLAY","South America",88
"ANY","nhs",12,NA,NA,NA,"PLAY","South America",88
"ANY","null",49.5912,37,62,0,"PROCESSION","Africa",233
"ANY","nhs",142,NA,NA,NA,"PROCESSION","Africa",233
"ANY","null",87.1648,72,104,0,"PROCESSION","Asia",215
"ANY","nhs",133,NA,NA,NA,"PROCESSION","Asia",215
"ANY","null",7.7336,3,13,0,"PROCESSION","Europe",62
"ANY","nhs",28,NA,NA,NA,"PROCESSION","Europe",62
"ANY","null",7.8246,3,13,0.9224,"PROCESSION","Middle America and the Caribbean",37
"ANY","nhs",8,NA,NA,NA,"PROCESSION","Middle America and the Caribbean",37
"ANY","null",0.326,0,2,0,"PROCESSION","Middle East",6
"ANY","nhs",0,NA,NA,NA,"PROCESSION","Middle East",6
"ANY","null",12.725,7,20,0.002,"PROCESSION","North America",102
"ANY","nhs",25,NA,NA,NA,"PROCESSION","North America",102
"ANY","null",11.1058,6,17,0.0832,"PROCESSION","South America",88
"ANY","nhs",17,NA,NA,NA,"PROCESSION","South America",88
"ANY","null",111.1564,93,130,0,"MOURNING","Africa",233
"ANY","nhs",277,NA,NA,NA,"MOURNING","Africa",233
"ANY","null",114.1416,95,134,0.2684,"MOURNING","Asia",215
"ANY","nhs",126,NA,NA,NA,"MOURNING","Asia",215
"ANY","null",10.624,5,18,4e-04,"MOURNING","Europe",62
"ANY","nhs",24,NA,NA,NA,"MOURNING","Europe",62
"ANY","null",10.2788,5,16,0,"MOURNING","Middle America and the Caribbean",37
"ANY","nhs",33,NA,NA,NA,"MOURNING","Middle America and the Caribbean",37
"ANY","null",0.3452,0,2,0.038,"MOURNING","Middle East",6
"ANY","nhs",3,NA,NA,NA,"MOURNING","Middle East",6
"ANY","null",137.2502,116,159.025,0,"MOURNING","North America",102
"ANY","nhs",193,NA,NA,NA,"MOURNING","North America",102
"ANY","null",48.6728,36,62,0,"MOURNING","South America",88
"ANY","nhs",161,NA,NA,NA,"MOURNING","South America",88
"ANY","null",14.059,8,21,0,"WORK","Africa",233
"ANY","nhs",36,NA,NA,NA,"WORK","Africa",233
"ANY","null",13.3868,7,21,0,"WORK","Asia",215
"ANY","nhs",31,NA,NA,NA,"WORK","Asia",215
"ANY","null",3.1726,0,7,0,"WORK","Europe",62
"ANY","nhs",14,NA,NA,NA,"WORK","Europe",62
