"q","year","est","cilo","cihi"
1,1900,-0.0298220376112808,-0.0856609477023446,0.0258934172670387
1,1901,-0.0289744750402419,-0.0835907410011634,0.0255920180725501
1,1902,-0.0281371623393587,-0.0817401634876986,0.0254316086420239
1,1903,-0.0273100995086312,-0.0797883708946548,0.0252550840630433
1,1904,-0.0264932865480593,-0.0777988246517722,0.0249733370959202
1,1905,-0.0256867234576431,-0.0759372612167518,0.0245535529018444
1,1906,-0.0248904102373824,-0.0741135980752352,0.024230402817225
1,1907,-0.0241043468872775,-0.0722135515976283,0.0238805417131379
1,1908,-0.0233285334073281,-0.0703688145743783,0.0234130657000844
1,1909,-0.0225629697975344,-0.0685167917625465,0.0231041622661961
1,1910,-0.0218076560578964,-0.0665789103948882,0.0228373429823575
1,1911,-0.021062592188414,-0.0647688373990399,0.0225962954487104
1,1912,-0.0203277781890872,-0.0630528276880584,0.022354256672402
1,1913,-0.0196032140599161,-0.0613347992843517,0.0220115989960185
1,1914,-0.0188888998009006,-0.0595219763183684,0.0216499372867366
1,1915,-0.0181848354120407,-0.0576922082628852,0.0213148200631017
1,1916,-0.0174910208933365,-0.0559387590661974,0.0210487783215527
1,1917,-0.016807456244788,-0.0541678332231206,0.0206522449575794
1,1918,-0.016134141466395,-0.0524608587297153,0.0202514531063011
1,1919,-0.0154710765581578,-0.050775952914053,0.0198681114466068
1,1920,-0.0148182615200761,-0.0490165681623969,0.0194122671962712
1,1921,-0.0141756963521501,-0.0473137455657877,0.0189722903532556
1,1922,-0.0135433810543798,-0.0456640700567896,0.0185668593969229
1,1923,-0.012921315626765,-0.0439524418324466,0.0181556988446401
1,1924,-0.012309500069306,-0.0423014246093882,0.0177303288470996
1,1925,-0.0117079343820025,-0.0405695685433038,0.0172365321577384
1,1926,-0.0111166185648547,-0.0389145076431183,0.0168073503501464
1,1927,-0.0105355526178626,-0.0372256530949388,0.0163306971020117
1,1928,-0.00996473654102606,-0.0355610312786261,0.0158396811642177
1,1929,-0.00940417033434519,-0.0339820729852923,0.0153232248717226
1,1930,-0.00885385399781996,-0.0323545719139573,0.0148223806237674
1,1931,-0.00831378753145037,-0.030671272893858,0.0142890456771225
1,1932,-0.00778397093523643,-0.0290167237926841,0.0136949209158351
1,1933,-0.00726440420917812,-0.0273611670218926,0.0130507931114065
1,1934,-0.00675508735327546,-0.0257004306650393,0.0124321920897951
1,1935,-0.00625602036752843,-0.0240726822666584,0.0117758172707481
1,1936,-0.00576720325193705,-0.0224551267720627,0.0110828972516768
1,1937,-0.0052886360065013,-0.0208447646804003,0.0104168944366136
1,1938,-0.00482031863122121,-0.0192483464147687,0.0097363566066095
1,1939,-0.00436225112609674,-0.0176405205536955,0.00902945594962421
1,1940,-0.00391443349112793,-0.0160552802857716,0.00830235646050688
1,1941,-0.00347686572631475,-0.0144477365980703,0.00754772977382829
1,1942,-0.00304954783165721,-0.0128185896990535,0.00681617883494667
1,1943,-0.00263247980715532,-0.0112193838177061,0.00604456379509989
1,1944,-0.00222566165280906,-0.00964754368787489,0.0052476432155526
1,1945,-0.00182909336861845,-0.00803882749117918,0.00441630002013266
1,1946,-0.00144277495458348,-0.00643578408827229,0.00356945989192418
1,1947,-0.00106670641070415,-0.00482839042622773,0.00270629951684626
1,1948,-0.000700887736980456,-0.00321832989391511,0.00182524334810024
1,1949,-0.000345318933412408,-0.00161233079733512,0.000924725671404562
1,1950,0,0,0
1,1951,0.000335069063256766,-0.000948114621160564,0.00161179285406399
1,1952,0.000659888256357892,-0.00191578397422297,0.00322108455483343
1,1953,0.000974457579303376,-0.00291093984653005,0.00484744163796567
1,1954,0.00127877703209322,-0.00393157086402525,0.00646556909194045
1,1955,0.00157284661472742,-0.00497879375937852,0.0080862324219114
1,1956,0.00185666632720598,-0.00606093901833728,0.00972175002500295
1,1957,0.0021302361695289,-0.007155305707349,0.0113423257018867
1,1958,0.00239355614169618,-0.00827613201306532,0.0129864822540504
1,1959,0.00264662624370782,-0.00942976569904631,0.0146460572094265
1,1960,0.00288944647556381,-0.010615403309284,0.0162889432904003
1,1961,0.00312201683726417,-0.0118230838624461,0.0179604880150969
1,1962,0.00334433732880888,-0.0130444501117387,0.0196342090638034
1,1963,0.00355640795019796,-0.0142825718705104,0.0212953883510308
1,1964,0.00375822870143139,-0.0155830917223884,0.0229641815380169
1,1965,0.00394979958250918,-0.016868220087568,0.0246231309658218
1,1966,0.00413112059343133,-0.0182175454892296,0.0263392171303316
1,1967,0.00430219173419784,-0.0195947324056267,0.0280329572823531
1,1968,0.0044630130048087,-0.0209981301610971,0.0297516899548561
1,1969,0.00461358440526393,-0.0224209865378938,0.0314749313125477
1,1970,0.00475390593556352,-0.0238254024269471,0.0332288748774957
1,1971,0.00488397759570746,-0.0253252418844044,0.0349453875778975
1,1972,0.00500379938569576,-0.0268394624734305,0.0366775492040986
1,1973,0.00511337130552842,-0.0283812032353505,0.0383816094534486
1,1974,0.00521269335520545,-0.0299258765829626,0.040156707132633
1,1975,0.00530176553472682,-0.0314626207367248,0.0418839899984741
1,1976,0.00538058784409256,-0.0330581745450994,0.0436383622237729
