"dim","station","stationmean.est","stationmean.cilo","stationmean.cihi","stationmean.pval","country_code"
"q.1","ACW00011647",0.483406253039546,-0.195263031188877,1.24748291501724,0.159,"AC"
"q.2","ACW00011647",-0.681765812603075,-1.33692696887061,-0.130667500059705,0.0152,"AC"
"q.3","ACW00011647",0.314431299105234,-0.711541396433849,1.36684326043439,0.5836,"AC"
"q.1","ALE00100939",0.533451059425667,0.372692536420432,0.691891925051426,0,"AL"
"q.2","ALE00100939",-0.0561257960985901,-0.255355507202537,0.171825470194056,0.606,"AL"
"q.3","ALE00100939",-0.040064878486067,-0.406585078380575,0.337624784125236,0.8472,"AL"
"q.1","ALE00108905",0.650932101401314,0.472982043156505,0.867854626246973,0,"AL"
"q.2","ALE00108905",-0.623749043296014,-0.864969413523797,-0.421542440513817,0,"AL"
"q.3","ALE00108905",-0.717831684123091,-1.21927333837983,-0.319863309647958,0,"AL"
"q.1","ALM00013615",0.406104684008983,-0.580049152999338,1.37463776492328,0.4116,"AL"
"q.2","ALM00013615",0.347525651857586,-1.35576793658065,1.97948270026312,0.655,"AL"
"q.3","ALM00013615",0.278614359777276,-1.82860977768806,2.42119228367215,0.7988,"AL"
"q.1","AO000066160",0.677663868425995,-0.323860274658352,1.75979123476584,0.202,"AO"
"q.2","AO000066160",-0.0815053721820371,-1.83116694562754,1.68649503218322,0.867,"AO"
"q.3","AO000066160",0.089210224692823,-1.96894344836138,2.34156864473783,0.9584,"AO"
"q.1","AO000066422",0.760614909246701,0.189796145005119,1.366706142016,0.0105999999999999,"AO"
"q.2","AO000066422",-0.0947266759520249,-1.65906233883481,1.18551289675038,0.9408,"AO"
"q.3","AO000066422",-0.0330663469377162,-1.41467934572131,1.30959050437896,0.957,"AO"
"q.1","AQC00914000",0.545924674447324,0.18725153148693,0.9034842055111,0.00120000000000009,"AQ"
"q.2","AQC00914000",-1.91261389884322,-2.45708351512614,-1.4305594346132,0,"AQ"
"q.3","AQC00914000",0.218657283313011,-0.376277046518578,0.780732021889899,0.4242,"AQ"
"q.1","AQC00914005",0.885263882669262,0.291486039673191,1.42429972683398,0.00099999999999989,"AQ"
"q.2","AQC00914005",-1.030408069695,-1.538389494289,-0.559976556513032,0,"AQ"
"q.3","AQC00914005",-0.430100690005323,-1.04686902328254,0.256943483921696,0.214,"AQ"
"q.1","AQC00914135",0.439086245522789,-0.0946809762228039,0.984838806845762,0.118,"AQ"
"q.2","AQC00914135",-2.81541119252617,-3.40063434834859,-2.28972307524432,0,"AQ"
"q.3","AQC00914135",0.246411484359432,-0.527178893158177,1.2817599713975,0.615,"AQ"
"q.1","AQC00914149",0.841758738685879,-0.26523003583636,2.00497901374334,0.14,"AQ"
"q.2","AQC00914149",-3.03469425536363,-3.99067301692724,-2.08353881073613,0,"AQ"
"q.3","AQC00914149",-0.505931262981785,-2.44700359645372,1.27010815100186,0.6046,"AQ"
"q.1","AQC00914248",0.171509591046949,-0.639761360200405,0.870653185931211,0.6126,"AQ"
"q.2","AQC00914248",-2.92228507338093,-3.56784453683335,-2.2863533115144,0,"AQ"
"q.3","AQC00914248",0.617021345373178,-0.622396617781344,1.79644089028143,0.3402,"AQ"
"q.1","AQC00914397",0.417486685583729,-0.377130286714815,1.19034306121326,0.2436,"AQ"
"q.2","AQC00914397",-2.02464996554963,-2.6244200877323,-1.47875430438682,0,"AQ"
"q.3","AQC00914397",0.295247722975471,-1.00643693254219,1.50057938556713,0.6316,"AQ"
