"","accuracy","pval"
"Dance",0.566666666666667,0.118733333333333
"Healing",0.0714285714285714,1
"Love",0.433333333333333,0.621922916666667
"Lullaby",0.5,0.365713888888889
"overall",0.398305084745763,0.0627916666666667
