"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1071","relative pitch",2,"+0",14837,0.402862830193839,115,0.402862830193839,1,0.409267262076551
"1072","relative pitch",2,"-2",5210,0.149221007772445,104,0.552083837966284,2,0.157272088194563
"1073","relative pitch",2,"+2",2953,0.0781507916356861,95,0.63023462960197,3,0.0898844048679955
"1074","relative pitch",2,"-3",1769,0.0554808074061704,89,0.68571543700814,4,0.0604360817906126
"1075","relative pitch",2,"+3",1376,0.0447424837975494,89,0.730457920805689,5,0.0444203261329523
"1076","relative pitch",2,"-1",1384,0.0352965936574074,66,0.765754514463097,6,0.0345405297701802
"1077","relative pitch",2,"+7",824,0.0274045864571676,69,0.793159100920265,7,0.0279226807996373
"1078","relative pitch",2,"-7",781,0.0257133521737507,70,0.818872453094015,8,0.0232242098654088
"1079","relative pitch",2,"-4",886,0.0244003851790157,65,0.843272838273031,9,0.019740660900853
"1080","relative pitch",2,"+4",807,0.0221312285972588,72,0.86540406687029,10,0.0170697197077695
"1081","relative pitch",2,"+1",889,0.0192941690989383,56,0.884698235969228,11,0.0149662696331735
"1082","relative pitch",2,"+5",485,0.0170249772588269,64,0.901723213228055,12,0.013273138967286
"1083","relative pitch",2,"+10",534,0.0158793663499584,45,0.917602579578013,13,0.0118852839262688
"1084","relative pitch",2,"-5",432,0.0154620999484553,54,0.933064679526469,14,0.0107300503222948
"1085","relative pitch",2,"+9",535,0.0152729202061404,37,0.948337599732609,15,0.00975571453784125
"1086","relative pitch",2,"-10",361,0.0121643500787213,35,0.96050194981133,16,0.00892453494488998
"1087","relative pitch",2,"+11",257,0.0106403154314854,26,0.971142265242816,17,0.00820837965187023
"1088","relative pitch",2,"-11",264,0.0100378547847106,19,0.981180120027527,18,0.00758588641188999
"1089","relative pitch",2,"-9",249,0.00725657198393791,33,0.988436692011464,19,0.00704056600857511
"1090","relative pitch",2,"-8",176,0.00584098481210938,25,0.994277676823574,20,0.00655950453919928
"1091","relative pitch",2,"+8",87,0.00335311178497341,23,0.997630788608547,21,0.00613245616876377
"1092","relative pitch",2,"-6",51,0.00120242254991823,14,0.998833211158465,22,0.00575119657934383
"1093","relative pitch",2,"+6",51,0.0011667888415347,14,1,23,0.00540905420208051
