"dim","culture","mean.est","mean.cilo","mean.cihi","mean.pval","sd.est","sd.cilo","sd.cihi","ncites","npassages"
"q.1","NHS-C001",-0.217686517314939,-0.750547988291421,0.328085450710516,0.4215,0.566877141196804,0.371321555901856,0.837839357034043,4,13
"q.1","NHS-C002",-0.437902508161858,-0.630886048562203,-0.256078991061563,0,0.674284225976362,0.577724408251406,0.764483376034827,16,121
"q.1","NHS-C003",-0.775281744775958,-0.981233912656668,-0.552346464639027,0,0.636360646743768,0.538711869378677,0.730107763842184,4,126
"q.1","NHS-C004",0.0321483998230925,-0.331296505696966,0.386125606621678,0.853,1.13694235682966,0.974256848955068,1.31783136101872,9,29
"q.1","NHS-C006",0.0183336402809501,-0.339450226293262,0.378062748934005,0.92675,0.840366615739515,0.680514727418314,1.00736369380639,12,33
"q.1","NHS-C007",0.0980101654421191,-0.109058873516606,0.302129031414417,0.35225,0.841438747220997,0.687155279010596,0.934092839100277,10,100
"q.1","NHS-C008",0.00746348339262011,-0.447273080604119,0.47216399629347,0.98425,0.773382012810951,0.527652078951028,1.04944837393991,8,19
"q.1","NHS-C009",0.0649909832441406,-0.0894131390916461,0.211672777387682,0.401,0.718246662500677,0.617049098322321,0.812261186717746,5,163
"q.1","NHS-C011",0.592672924783313,0.148536225919685,1.04713794696525,0.00950000000000006,1.07525134681882,0.84897598034058,1.34765409939905,5,19
"q.1","NHS-C014",0.37633260068991,0.174704545118657,0.585905774183769,0.000499999999999945,0.838338955644914,0.71494556159688,0.963739638976947,13,106
"q.1","NHS-C016",0.026274265180137,-0.271667622672878,0.326938058853039,0.871,0.735430488990697,0.588493955699261,0.878866662772314,7,46
"q.1","NHS-C017",0.0589989718537036,-0.329823619028386,0.456317042681192,0.77,0.881260207895994,0.677254360642404,1.06722648062816,12,30
"q.1","NHS-C022",-0.169604317730534,-0.368755264586228,0.0295479676661161,0.09325,0.625399758950071,0.520358743359133,0.723824371693168,4,89
"q.1","NHS-C023",0.614322292786092,0.36227171511956,0.873861472726594,0,1.02634536329921,0.878752067055049,1.18012100128295,13,65
"q.1","NHS-C024",0.195938173559552,0.0144546034737747,0.376128665046167,0.0337499999999999,1.21497958112744,1.08424215483127,1.3178734130927,5,114
"q.1","NHS-C027",-0.11528787900962,-0.582411672919634,0.339084194864498,0.60775,0.628711348677117,0.433212961644934,0.833939749239541,6,20
"q.1","NHS-C029",-0.298777768912564,-0.71239355074994,0.09023053972947,0.14175,0.839199408667573,0.65440862616482,0.992615415169535,5,26
"q.1","NHS-C032",-0.327881040155089,-0.753093472768916,0.0895875406268739,0.12825,0.801979584228719,0.571646151729435,1.04924120655805,10,20
"q.1","NHS-C033",-0.210992296449618,-0.543791950546013,0.10973520796359,0.194,0.693701164988585,0.548438267845458,0.824481435163555,5,35
"q.1","NHS-C036",-0.2865759400651,-0.407169046240863,-0.176359255434423,0,0.789956383762437,0.696992009475921,0.869080313557022,19,315
"q.1","NHS-C037",0.164893432438335,-0.22150220668892,0.569298978899882,0.4135,0.714182063923901,0.521502501101599,0.91546727974647,2,27
"q.1","NHS-C042",0.0715891932613045,-0.11918445664807,0.265126498520508,0.4695,0.731879767189595,0.61200667507401,0.826820574189224,13,106
"q.1","NHS-C048",0.0525374218668438,-0.198646001051128,0.310442124409943,0.68975,0.792963534940162,0.635490384734417,0.945007652354078,15,63
"q.1","NHS-C050",0.299848977529354,-1.13144244584016,1.78692923972368,0.69775,0.448246090748558,0.0279609703822228,1.32543656704871,1,2
"q.1","NHS-C052",-0.247935970001116,-0.691296314047447,0.205675813568234,0.28025,0.622668390783887,0.404148185405702,0.779359307373677,4,17
