"id_nhs","indx","song_function","score_1","score_2","score_3","highlighted"
"NHS-C108",1,"love",-0.6017811728082221,-0.140620045255127,0.0183849740609505,"false"
"NHS-C108",2,"dance",-0.38632311316659296,0.48902834062338596,-0.019057476408933998,"false"
"NHS-C108",3,"other",0.8398069337865229,-0.20467790346451603,-1.58767148873025,"false"
"NHS-C108",4,"dance",0.0206938843499942,-0.29562348383062004,0.532810107631825,"false"
"NHS-C108",5,"other",-1.4812619049174398,-0.06680963707321201,-1.1366890901056999,"false"
"NHS-C108",6,"other",0.7503429453785742,0.11968898682664901,0.400078969655681,"false"
"NHS-C108",7,"other",0.968906147771265,0.7824247460272191,0.800675556609838,"false"
"NHS-C108",8,"dance",0.6619623016944711,0.7058502349310299,0.6009524592458829,"false"
"NHS-C108",9,"other",-0.15227175873400303,-0.33401621745022697,0.227995365465351,"false"
"NHS-C108",10,"healing",0.14244932167010402,-0.6168380723800581,1.98291997304067,"false"
"NHS-C108",11,"dance",0.604436166791559,0.30609370636426003,0.552001257154344,"false"
"NHS-C108",12,"healing",0.0157350943296146,-0.756347770337971,0.605662643630942,"false"
"NHS-C108",13,"other",0.21441743974641503,-0.640550302693224,0.633070642400506,"false"
"NHS-C108",14,"healing",0.47177466486555,-1.07300455284916,1.1182687072272,"false"
"NHS-C108",15,"healing",0.46668968699800106,-1.04993014046706,1.0938631307298001,"false"
"NHS-C108",16,"healing",0.46508641252567207,-1.07198348577401,1.1183391889216399,"false"
"NHS-C108",17,"healing",0.47767772142106896,-1.0802563565227101,1.08600922068315,"false"
"NHS-C108",18,"healing",0.466876426659019,-1.0730794153337802,1.0983565817843,"false"
"NHS-C108",19,"other",0.784475565019234,-0.922820722895184,0.30740083332053003,"false"
"NHS-C108",20,"other",0.7618878768607241,0.674682715903535,1.5958165517158798,"false"
"NHS-C108",21,"dance",-1.57004791071942,1.92940432880542,0.778412229239153,"false"
"NHS-C108",22,"other",0.59853974883721,0.0176626806316172,1.76125381499008,"false"
"NHS-C108",23,"other",0.6064911245159631,0.0142905339150632,1.74803042594578,"false"
"NHS-C108",24,"dance",0.917424131409293,0.540914484959507,1.10906719204181,"false"
"NHS-C108",25,"dance",0.914612640073647,0.536615316180076,1.1196355426573898,"false"
"NHS-C108",26,"dance",0.91187832111632,0.528735110145142,1.1097229608308201,"false"
"NHS-C108",27,"other",0.13001553664760002,-0.33336067088005394,0.5529311275759089,"false"
"NHS-C108",28,"other",-2.18771051674055,0.915831983026129,1.27211534293105,"false"
"NHS-C108",29,"other",0.438336777624301,0.0984116006819066,0.7331871015233741,"false"
"NHS-C108",30,"other",0.458537039726267,-0.0603318459258806,0.753234479157113,"false"
"NHS-C108",31,"other",0.6353160061488969,0.228327540725196,1.2732836782081398,"false"
"NHS-C108",32,"other",0.538387262656891,0.682360872409296,0.0169404963713988,"false"
"NHS-C108",33,"other",0.536050817559775,0.700819357089606,0.0125975391795472,"false"
