"song","tempo_adj","macrometer_ord","syncopate","accent","dynamics","ritard_accel","micrometer_duple","micrometer_triple","macrometer_duple","macrometer_triple","variation_rhythmic","variation_melodic","ornament","vibrato","tension","scale_quality_minor"
81,111.661290322581,1.83870967741935,0.129032258064516,0.338709677419355,0.258064516129032,0,0.612903225806452,0.032258064516129,0.0967741935483871,0.032258064516129,0.193548387096774,0.193548387096774,0.709677419354839,0.903225806451613,0.967741935483871,0.870967741935484
82,161.370967741935,5.93548387096774,0.741935483870968,0.774193548387097,0.032258064516129,0,0.580645161290323,0.483870967741935,0.967741935483871,0.032258064516129,0.032258064516129,0,0.129032258064516,0,1.35483870967742,1
83,168.064516129032,5.70967741935484,0.758064516129032,0.629032258064516,0.258064516129032,0.612903225806452,0.967741935483871,0.0645161290322581,1,0,0.258064516129032,0.225806451612903,0.580645161290323,0.032258064516129,1.80645161290323,0.333333333333333
84,140.596774193548,2.96774193548387,0.661290322580645,0.709677419354839,0.258064516129032,0.032258064516129,0.516129032258065,0.483870967741935,0.419354838709677,0.258064516129032,0.612903225806452,0.516129032258065,0.645161290322581,0.870967741935484,1.87096774193548,0.9
85,98.5322580645161,4.06451612903226,0.419354838709677,0.338709677419355,0.451612903225806,0.774193548387097,0.741935483870968,0.193548387096774,0.709677419354839,0.387096774193548,0.612903225806452,0.548387096774194,1,0.129032258064516,2.41935483870968,0.318181818181818
86,122.655871,3.74193548387097,0.564516129032258,0.435483870967742,0.32258064516129,0,1,0.0967741935483871,0.741935483870968,0.225806451612903,0.419354838709677,0.387096774193548,0.32258064516129,0.032258064516129,2,0
87,94.5967741935484,4.35483870967742,0.693548387096774,0.241935483870968,0.0645161290322581,0.032258064516129,0.967741935483871,0.032258064516129,0.806451612903226,0.387096774193548,0.290322580645161,0.354838709677419,0.161290322580645,0.0967741935483871,1.61290322580645,1
88,110.483916,4,0.467741935483871,0.67741935483871,0.32258064516129,0.0967741935483871,0.967741935483871,0.0645161290322581,0.838709677419355,0.129032258064516,0.225806451612903,0.161290322580645,0.290322580645161,0.193548387096774,2.12903225806452,0.233333333333333
89,175.005329,5.54838709677419,0.419354838709677,0.483870967741935,0.0645161290322581,0.290322580645161,1,0.032258064516129,0.967741935483871,0,0.032258064516129,0.0967741935483871,0.129032258064516,0,1.38709677419355,0.24
90,175.758064516129,3.32258064516129,0.451612903225806,0.387096774193548,0.645161290322581,0.258064516129032,0.580645161290323,0.387096774193548,0.354838709677419,0.032258064516129,0.870967741935484,0.645161290322581,0.548387096774194,0.741935483870968,1.96774193548387,0.857142857142857
91,174.085980645161,5.19354838709677,0.854838709677419,0.790322580645161,0.290322580645161,0.129032258064516,0.903225806451613,0.387096774193548,0.741935483870968,0.451612903225806,0.580645161290323,0.645161290322581,0.419354838709677,0,2.25806451612903,0.181818181818182
92,95.0833806774194,3.7741935483871,0.580645161290323,0.564516129032258,0.290322580645161,0.129032258064516,0.67741935483871,0.774193548387097,0.580645161290323,0.32258064516129,0.354838709677419,0.258064516129032,0.870967741935484,0.129032258064516,2.61290322580645,0
93,101.483870967742,3.38709677419355,0.129032258064516,0.290322580645161,0.0645161290322581,0.032258064516129,0.967741935483871,0.0645161290322581,0.580645161290323,0.225806451612903,0.580645161290323,0.548387096774194,0.32258064516129,0.032258064516129,1.96774193548387,0.5
