song,annotator,annotator_degree,annotator_field,tonal,tonal_pitch1,tonal_pitch2,scale,scale_type1,scale_type2,scale_quality,tempo_raw,tempo_adj,tempo_med,tempo_tap,tempo_val,micrometer,macrometer_text,macrometer_ord,macrometer_none,macrometer_2,macrometer_3,macrometer_4,macrometer_5,macrometer_6,macrometer_7,macrometer_8,macrometer_9,macrometer_10,macrometer_11,macrometer_12,macrometer_13,macrometer_14,macrometer_15,macrometer_other,repeat_small,repeat_large,repeat_vary,singers_n,singers_sex,leader,unison,polyphony,call_response,contour,ornament,vibrato,dynamics,ritard,words,infant,tension,tension_melody,tension_harmony,tension_rhythm,tension_motif,tension_accent,tension_dynamic,tension_voices,tension_inst,syncopate,accent,ending_stop,ending_finalnote,ending_long,ending_ritard,ending_accel,ending_loud,ending_quiet,ending_follow,ending_unknown,ending_other,clap,stomp,instru,instru_idio,instru_membrano,instru_aero,instru_chordo,instru_rhythm1,instru_rhythm2,instru_pitched,instru_drone,instru_harmony,instru_bassline,instru_cpt,instru_melody,transcr_qual,transcr_qualo,transcr_diff,transcr_diffo,transcr_text,like,guess_genre,guess_loc,comment_song
1,TTO,MM,.,1,F,Single point of stability,0,.,.,Unknown,106,106,53,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,2,Both sexes,Female leader(s),1,0,0,Undefined,1,0,Multiple dynamics,No ritard or accel,Pitched syllables,0,1,0,0,0,0,0,1,0,0,1,.5,1,1,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,6,Healing,Asia,
1,VLM,PhD,Music Theory,1,F,Single point of stability,1,Undefined,Single pitch collection,Unknown,55,110,55,Half,.5,Duple,No macrometer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Identical,2,Male,Male leader(s),1,0,0,Undefined,1,0,No dynamics,No ritard or accel,Words present,0,1,0,0,1,0,1,0,1,0,1,.5,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Perfect,8,Extremely easy,7,,3,Healing,Asia,
2,ACW,BM,Music Theory,1,C,Single point of stability,0,.,.,Unknown,50,50,50,Quarter,.25,Neither duple nor triple,Minor deviations from macrometer,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Identical,7 or more,Male,Male leader(s),1,1,1,Descending,0,0,Multiple dynamics,No ritard or accel,Words present,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,2,Healing,Middle America,
2,CAJ,PhD,Ethnomusicology,1,C,Single point of stability,1,Undefined,Single pitch collection,Unknown,105,52.5,52.5,Eighth,.125,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,3,Female,Female leader(s),1,1,1,Descending,0,0,No dynamics,No ritard or accel,Words present,0,1,0,0,0,0,0,0,1,0,0,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Sort of difficult,4,,3,Love,Europe,
2,CRC,PhD,Music Theory,1,C,Single point of stability,1,Generic major,Single pitch collection,Major,47,47,47,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,6,Male,Male leader(s),1,1,1,Descending,0,0,Gets louder,No ritard or accel,Words present,0,1,1,0,1,0,0,0,1,0,0,.5,0,0,1,0,0,1,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Very accurate,6,Very difficult,3,,3,Healing,Middle East,
2,CSP,PhD,Music Theory,1,C,Single point of stability,0,.,.,Unknown,90,90,90,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,7 or more,Both sexes,Male leader(s),1,1,1,Descending,0,0,Multiple dynamics,No ritard or accel,Words present,0,1,1,0,0,0,0,0,0,0,.5,1,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Very difficult,3,,3,Healing,Oceania,
2,DTL,.,.,1,C,Single point of stability,1,Dorian,Aeolian,Minor,62,62,62,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic and melodic variation,4,Both sexes,Female leader(s),1,1,0,Descending,0,0,Multiple dynamics,No ritard or accel,Pitched syllables,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,2,Love,Africa,
2,EAG,PhD,Ethnomusicology,1,C,Single point of stability,1,Generic minor,Single pitch collection,Minor,70,70,70,Quarter,.25,Neither duple nor triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,No repetition,7 or more,Male,Male leader(s),1,0,1,Descending,0,0,Quiets down,No ritard or accel,Pitched syllables,0,1,1,0,0,0,0,0,1,0,.5,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Sort of easy,5,,5,Healing,Europe,
2,EBR,MM,.,1,C,Single point of stability,1,Generic major,Single pitch collection,Major,56,56,56,Quarter,.25,Triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic and melodic variation,5,Male,Male leader(s),1,1,1,Descending,0,0,No dynamics,Speeds up and slows down,Pitched syllables,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,2,Love,Oceania,"99:99. The singers sustain notes at close intervals, usually landing on a major second.  "
2,EJM,BM,.,1,C,Single point of stability,0,.,.,Unknown,40,40,40,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,4,Both sexes,Female leader(s),1,1,0,Descending,0,1,No dynamics,No ritard or accel,Words present,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,1,Healing,Africa,
