song,duration,number_of_distinct_voices,mean_interval,modal_interval,distance_btwn_modal_intervals,modal_interval_prevalence,rel_strength_modal_intervals,common_intervals_count,amount_of_arpeggiation,stepwise_motion,melodic_thirds,direction_of_motion,duration_of_melodic_arcs,size_of_melodic_arcs,modal_pitch_prev,modal_pitchcls_prev,rel_strength_top_pitches,rel_strength_top_pitchcls,interval_btwn_strongest_pitches,interval_btwn_strongest_pitchcls,number_of_common_pitches,pitch_variety,pitch_class_variety,range,note_density,average_note_duration,maximum_note_duration,minimum_note_duration,variability_of_note_duration,initial_tempo,quality,tonal_certainty_metrics_0,tonal_certainty_metrics_1,tonal_certainty_metrics_2,tonal_certainty_metrics_3,tonal_certainty_metrics_4,tonal_certainty_metrics_5,tonal_certainty_metrics_6,tonal_certainty_metrics_7,tonal_certainty_metrics_8,tonal_certainty_metrics_9,tonal_certainty_metrics_10,tonal_certainty_metrics_11,tonal_certainty_metrics_12,tonal_certainty_metrics_13,tonal_certainty_metrics_14,tonal_certainty_metrics_15,tonal_certainty_metrics_16,tonal_certainty_metrics_17,tonal_certainty_metrics_18,tonal_certainty_metrics_19,tonal_certainty_metrics_20,tonal_certainty_metrics_21,tonal_certainty_metrics_22,tonal_certainty_metrics_23,class,key1,key2,key3,key4,key5,melodic_interval_histogram_0,melodic_interval_histogram_1,melodic_interval_histogram_2,melodic_interval_histogram_3,melodic_interval_histogram_4,melodic_interval_histogram_5,melodic_interval_histogram_6,melodic_interval_histogram_7,melodic_interval_histogram_8,melodic_interval_histogram_9,melodic_interval_histogram_10,melodic_interval_histogram_11,melodic_interval_histogram_12,melodic_interval_histogram_13,melodic_interval_histogram_14,melodic_interval_histogram_16,melodic_interval_histogram_17
28,56.063999,1,1.8113208,0,5,.46226415,.46938777,4,.56603771,.21698113,.10377359,.31578946,1.9,6.2333331,.26984128,.34920636,.91176468,.75,5,7,4,10,7,20,2.2474315,.40959191,1.1138543,.092821196,.20657954,80.800514,0,.73622173,.63813442,.59119797,.59079868,.49500346,.46208608,.35659546,.33963522,.19698603,.16106828,.13280758,.12521346,-.049068041,-.095751472,-.21276347,-.2769765,-.40974587,-.42883897,-.45236018,-.5368278,-.54803872,-.58481234,-.60368258,-.62688237,,8,3,1,15,20,.46226415,.018867925,.1981132,.10377359,0,.21698113,0,0,0,0,0,0,0,0,0,0,0
29,172.53101,1,1.6282723,1,1,.513089,.76530612,2,.094240837,.90575916,.094240837,.4764398,2.4025156,3.8930817,.29292929,.29292929,.94827586,.94827586,1,1,3,10,9,12,2.2952397,.43001136,.89859897,.22464974,.20541178,66.770607,1,.62336582,.55535167,.37934649,.37416244,.30880126,.3056758,.19660921,.18480304,.12133738,.091940738,.068825953,.052507069,-.075504586,-.088654324,-.13507861,-.15441078,-.22649093,-.25065336,-.28845409,-.32396793,-.34345019,-.3654933,-.45694226,-.5536266,,16,0,5,7,21,0,.513089,.39267015,.047120418,.047120418,0,0,0,0,0,0,0,0,0,0,0,0
30,127.407,1,2.0558293,2,1,.37274221,.74889868,3,.30706075,.65188837,.13136289,.49429658,1.9553903,4.6431227,.23717949,.23717949,.8445946,.92567569,4,4,5,8,7,14,4.8976903,.19929121,.79546511,.066288762,.10896151,226.2827,1,.80049056,.60422152,.58245718,.51025295,.47576025,.28114146,.18391035,.17729005,.16085599,.078961305,.059512813,.049437266,-.023332594,-.053392932,-.14345488,-.21550664,-.3163842,-.32957113,-.33776259,-.44010717,-.48959768,-.50349665,-.53111154,-.58057362,,16,23,7,11,4,.136289,.27914613,.37274221,.049261082,.082101807,.032840721,0,.029556651,.0082101803,0,0,0,.0098522166,0,0,0,0
31,44.499001,1,1.9102564,2,1,.37179488,.93103451,3,.6025641,.37179488,.34615386,.48275861,1.6111112,3.9444444,.31034482,.31034482,.92592591,.92592591,2,2,4,5,5,9,1.9551001,.46805498,.83960378,.20990095,.21514602,142.92456,0,.67231137,.61616117,.59037995,.51745605,.45501965,.32165509,.32121441,.2864773,.26373726,.21714658,.0039872015,-.018493112,-.02724392,-.032072626,-.20641583,-.25290009,-.28551537,-.30218983,-.40132216,-.48596242,-.49913764,-.58162141,-.58598393,-.58668762,,3,8,17,15,10,.25641027,0,.37179488,.34615386,0,.025641026,0,0,0,0,0,0,0,0,0,0,0
32,40.172001,1,3,0,5,.36250001,.62068963,4,.66250002,.075000003,.26249999,.41176471,2.2173913,9.913043,.27586207,.48275861,.875,.5,9,9,4,5,4,12,2.1656876,.42159522,1.1644058,.14555073,.28177956,103.05685,0,.78763252,.76287878,.6650452,.53689498,.47530249,.22207579,.15614289,.087286524,.082314163,.0034874824,-.015309457,-.016052073,-.027486091,-.14922482,-.16976283,-.22503129,-.22748543,-.28756952,-.36995432,-.4154833,-.42000219,-.42068496,-.51124132,-.52377319,,7,2,23,14,19,.36250001,0,.075000003,.1125,.15000001,.22499999,0,0,0,.037500001,0,0,.037500001,0,0,0,0
33,291.733,1,.2586605,0,5,.94611239,.053702198,1,.94611239,.0030792917,0,.52857143,1.3725491,6.4901962,.9476015,.9476015,.052959502,.052959502,5,7,1,4,4,7,4.6446581,.20658174,.5452953,.090882555,.070199341,165.04817,0,.71874392,.70791358,.43048424,.40898055,.26843855,.20346555,.19920537,.10508659,.058666494,.0057768691,.0024106298,-.070773229,-.10029939,-.16282754,-.165308,-.25385359,-.26307628,-.27409783,-.28281641,-.28961328,-.29821086,-.30129072,-.3196663,-.32733899,,3,15,12,8,20,.94611239,.0015396458,.0015396458,0,0,.050808314,0,0,0,0,0,0,0,0,0,0,0
34,130.205,1,.73253012,0,4,.78313255,.19076923,2,.93253011,.06746988,.1493976,.47777778,1.0714285,3.5714285,.7873832,.7873832,.20771514,.20771514,4,4,2,3,3,4,3.2871242,.29999205,1.8084028,.075350113,.20196038,99.535347,0,.73941499,.59182364,.5057978,.36666363,.25666776,.20727441,.18959969,.11916593,-.037771787,-.048162475,-.052848585,-.054944225,-.087475054,-.099498548,-.14478686,-.15976411,-.22559562,-.24347676,-.24559449,-.27795529,-.29225123,-.32411996,-.33033019,-.35183266,,6,18,15,11,22,.78313255,0,.06746988,0,.1493976,0,0,0,0,0,0,0,0,0,0,0,0
35,255.009,2,2.3450413,2,1,.30785123,.83221477,3,.53099173,.37603307,.3429752,.369863,1.752,5.1999998,.21846154,.21846154,.90845072,.90845072,5,5,5,8,8,10,2.3763866,.47119355,1.9083929,.11927456,.25829259,125.76027,0,.66025847,.61513323,.60453838,.39510152,.35981542,.35854328,.35323653,.34852496,.1628813,.16283178,.047502536,.0092369411,-.0189099,-.12345035,-.13376568,-.14426665,-.21278539,-.25361133,-.33394471,-.45997709,-.47260514,-.59118044,-.61622262,-.71688509,,1,13,6,15,20,.18181819,.06818182,.30785123,.25619835,.08677686,.055785123,.037190083,.0061983471,0,0,0,0,0,0,0,0,0
36,134.89799,2,1.6146789,0,3,.51070338,.4790419,3,.80428135,.17125382,.24464832,.2,2.5,8,.28032345,.48247978,.72115386,.53631288,12,3,3,8,5,17,2.750226,.33264592,.80137426,.26712474,.14189185,224.61415,1,.88097084,.58188367,.47250423,.45692664,.38942379,.38605592,.28973567,.22559829,.14561088,.060082521,.056518842,.009612482,-.044689719,-.098673746,-.10994178,-.24558939,-.25861204,-.30702657,-.32985321,-.48176458,-.48939121,-.50442672,-.53831476,-.54664004,,20,8,11,1,4,.51070338,0,.17125382,.24464832,0,.024464833,0,.024464833,0,0,.024464833,0,0,0,0,0,0
37,116.163,1,.91935486,1,1,.91935486,.087719299,1,.080645159,.91935486,0,.5,1.0088495,1,.60416669,.60416669,.65517241,.65517241,1,1,2,2,2,1,1.2396374,.80668747,1.9959278,.19959278,.46860343,75.153015,0,.48351112,.46828586,.28266144,.26846927,.24781872,.23656805,.22186324,.21922818,.17805275,.014186191,-.00021231298,-.071787924,-.10699314,-.13810588,-.14014886,-.14109895,-.15935801,-.19838455,-.21496448,-.26900512,-.27156964,-.2866205,-.29064527,-.33175018,,20,8,13,4,17,.080645159,.91935486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
