country,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nstations,nstationyears
JO,.74206305,.14831449,1.339003,.0164,.407756179308488,.182382881567645,.6615193087650461,.63202435,-.20516692,1.4703008,.1402,.746047439335359,.334331433125619,1.34292560273108,.029537953,-.93718028,1.0580416,.96280003,.859988876113969,.248073148279978,1.36597094066013,3,6
KE,.62871486,.40714923,.86158526,0,.8358046990685361,.697741647177671,.972798140135043,.53273976,.33393952,.72505748,0,.692792033388361,.6001949441543331,.7897109350814669,-.28258437,-.61017215,.0097274268,.061000001,.954763631595285,.759862582617987,1.10986524988204,5,74
KN,-.60254014,-.81724155,-.39282563,0,.424722187718047,.335954893213848,.514163453849636,.51380342,.22067165,.81632316,.00039999999,.7730575254070911,.6029277863186699,.957023806306027,-.58570498,-.96880466,-.21566938,.0027999999,.874281172348622,.724473576687079,1.00641182306079,7,48
LA,.72249967,-.024641706,1.4579104,.0592,.554322829918974,.207994907806763,1.00229035284869,.13699529,-.97275072,1.1205258,.7464,.977810534404398,.407045402984132,1.77241027715556,-.035187915,-1.1724486,1.1527011,.9454,.9526235731835,.435792996146168,1.6434898519958,3,5
LG,-.73649967,-.85817766,-.61683619,0,.738590961943833,.6489338662353979,.826112121288804,.055799346,-.037187472,.15996991,.25260001,.478843471428749,.423201272192833,.522198327357313,.17567818,.022236317,.3279644,.023800001,.982033896845749,.8412614890562,1.06439851521142,32,361
LH,-.81744391,-.92822999,-.69414955,0,.6255569768547939,.543122413256883,.70657513819123,.037285585,-.070925027,.14356484,.47940001,.507479803836372,.443208357184266,.569518548491269,-.24813633,-.40362948,-.097522445,.00019999999,.96925680450116,.843291728861011,1.07537841829701,21,291
LO,-.7247352,-.86952502,-.57527834,0,.5369830734332099,.468560695753126,.625785132173574,.24204871,.089851499,.39467767,.0018,.57519749776923,.487795860084732,.654297093384179,-.52960348,-.73186082,-.32829061,0,.85061524924399,.688257036929976,.979793705975593,6,125
LU,-.51470155,-.65411162,-.35890701,0,.724971169027339,.637301628057431,.806717107488088,-.19512486,-.30430129,-.085999079,0,.454585148183558,.394881196760686,.518027978216929,.24794778,.081323981,.42628843,.0034,.86939426676335,.713738464174182,.977295808761264,11,216
MC,.72576618,.27229497,1.1749332,.0016,.576914442033153,.398911340292694,.813407972557274,-.15882476,-.66609061,.34658557,.54259998,.713801047089984,.444441669313958,1.06593297024508,-.16177456,-.84998465,.52398503,.65759999,.904916034991638,.58011163486511,1.32085182720124,1,13
MJ,-.056635678,-.7828263,.65917087,.86940002,.602358853647708,.29764866372773,.931950529373031,.26160187,-.73531848,1.2588022,.61299998,.740499272375181,.277677589888097,1.44325946422388,-.064979732,-1.2667986,1.1443454,.91839999,.804902645351531,.212647238166405,1.48239144152263,3,4
MO,.40851694,.22249083,.59659106,0,.638532877399701,.519701843498139,.796253686717069,.90880352,.70841855,1.1108311,0,.6973625892499929,.583585938154258,.793807353090804,.23241937,-.031285409,.48911723,.082800001,.923104634685321,.749639760346918,1.08825069237191,18,85
MT,.61753678,.071987383,1.1744076,.023600001,.757406052885878,.420047883094471,1.16734589143336,.30404535,-.17923935,.78268337,.223,.49143459880217,.269809406483452,.7412066335876391,-.17173965,-.88879615,.52465606,.63840002,.914912901879562,.555739850427029,1.34056911190994,1,11
MU,.37170511,.11889432,.63626558,.0024000001,1.29589565451331,1.06951251084784,1.50760911838505,1.4979461,1.2236905,1.7889566,0,1.27809202128262,1.09989815881042,1.44033222263566,.25666595,-.11587916,.60868621,.15440001,1.24521282906501,.905170656921337,1.49947188635512,14,47
NC,.99843919,.76748359,1.2178959,0,.382954279999295,.282000375599673,.498380863621048,-1.0012205,-1.2511758,-.75291675,0,.847892517969986,.721860512485481,1.00074512487499,-.96167195,-1.3159461,-.60640037,0,1.17976710750333,.943325593756062,1.40731754033714,3,50
NF,.21263637,-.41502905,.85684633,.52499998,.335090553185187,.101056985689726,.598352586827934,-.81587756,-1.7316499,.061342862,.068599999,.725838807022876,.335834327199694,1.18388093918715,.54640967,-.50145423,1.6486142,.322,.82005564643958,.354864828936553,1.5126063772351,1,5
NH,.62877607,.045680452,1.2540812,.036800001,.79369332947772,.433795138055242,1.11867892663959,-.87341624,-1.3907502,-.36256734,.0016,.640330717800089,.461664581564484,.851989555474448,-.58464646,-1.4082514,.26145059,.17219999,.920925765579697,.501246031788306,1.3297943405187,6,9
NZ,-.17514154,-.28190628,-.073068917,.00060000003,.574104788065473,.498739037196655,.655143516865844,-.77711368,-.91624755,-.61566424,0,.853691359295042,.73884735734768,.963362220356671,.7442897,.54255491,.93827367,0,.859274567203269,.704718844471184,.967932767178551,15,196
PL,-.6230399,-.84188777,-.41059309,0,.613502631136863,.491591191844135,.741033548789696,.13594261,-.066366613,.33802745,.1928,.441928981899145,.378166338755738,.516084734824267,-.10147135,-.39424244,.18228672,.48820001,.914660214643545,.727751865233235,1.05112367279997,10,66
PM,.33132297,.015960921,.65717691,.040600002,1.00011966889239,.791357877911336,1.23324303716669,-1.6236531,-1.9377478,-1.308633,0,1.08263602602541,.916038558929502,1.27914713765333,-.23290439,-.67865038,.21167997,.31220001,.841294131226363,.585779567704577,1.18804545971636,8,28
PP,1.1051476,.85692865,1.347181,0,.29805711848725,.21897200876916,.392761320165966,-1.2009302,-1.4669806,-.9364537,0,.823041884378259,.6454287438006,1.0078376902521,-.26009351,-.64166117,.11581875,.16760001,.699765617259432,.551273078497943,.86932769831769,3,39
PS,.98097509,.73950827,1.2147322,0,.528971313342235,.358028521425046,.65438051313266,-1.6805301,-1.9668299,-1.3568156,0,.904944654769521,.722433688737858,1.16312688278063,-.28640988,-.61019897,.041739568,.082400002,.813883424591722,.6263383680387939,.9805672196206699,6,51
QA,.94830233,-.017537674,1.9190375,.0546,.316160364455513,.0145679616564467,.805425464965235,1.0286572,-.34410092,2.4402523,.1364,.659958292569418,.0188972032473525,1.75901841702239,-.11411104,-1.8130573,1.6129919,.88620001,.805114543147883,.0308887373587371,2.11912932226738,1,2
RP,1.1546141,1.0003656,1.290522,0,.418883016648932,.35852178001916,.493479093660126,-.48631012,-.62942243,-.33793974,0,.726489155728408,.627473987752991,.829744449708228,-.52879351,-.70990866,-.33437946,0,.798987136628449,.674713062495981,.879862760917146,27,210
SU,.82392478,.6697517,.9734875,0,.781614073102056,.656763046867229,.905799349438169,1.1834644,.94942403,1.351421,0,.893899744974011,.769583769532149,.977567902627769,.03232827,-.204658,.26232332,.78820002,1.0098450562846,.850960271035845,1.15220113713996,17,135
SV,-2.1814663,-2.4734397,-1.8859247,0,.47639707398876,.323357054725793,.67583209904038,-.20228143,-.50250983,.11430155,.1864,.561555485631488,.439577772210963,.691743814034731,-.45446557,-.85886651,-.071795657,.020199999,.6873617975384551,.499001496128685,.873408895449397,2,38
SZ,-.71918821,-.81929493,-.61320662,0,.742577844027448,.674493295923235,.805684169995628,-.33941951,-.43809494,-.20997573,0,.694434892361078,.599039323693344,.753224150101908,-.027043741,-.15244856,.096442267,.6674,.730942776795842,.581912697361599,.836253346478996,9,325
TO,1.0898755,.86615533,1.3152822,0,.275874414795803,.20653731080831,.395370004680874,.035612974,-.21748275,.27560332,.7798,.452089109212392,.350271294525006,.610320405881864,-.28571296,-.62533903,.049136661,.096600004,.700126087504626,.548041356656243,.858583576485603,6,43
TS,.4514209,.30144522,.60118949,0,.57756418585942,.484569698294878,.673539905010203,.82083696,.64125127,.99570972,0,.6985244654953719,.580769399728151,.797694645883904,.21932092,.013331979,.43263218,.0396,.859173733199981,.686250619530322,.985742892579009,13,117
TU,.027841661,-.05655947,.11129887,.5284,.595202312420093,.525918357849174,.651747596813857,.40862563,.30596951,.51264209,0,.702842234142243,.605422939199832,.795608357254167,.019853555,-.10428434,.14901587,.76840001,.868680031135993,.729288916545929,.960059598443886,50,319
UC,.48572475,-.5347935,1.4602939,.3272,.883848687490999,.242141352791571,1.52724390320188,.30623305,-.65594286,1.233757,.51660001,.901815377854902,.186951324847542,1.62389523927691,-.21224578,-1.6254457,1.1387655,.78060001,.802636608748676,.115329868029787,1.87717955641084,1,3
UV,1.101565,.92395926,1.2684451,0,.338637634933739,.266557270618018,.41847927928634,.41035384,.20560706,.59992659,0,.55642245270627,.463206542416974,.67286874081274,-.33753973,-.58466774,-.094640061,.0055999998,.737286384553447,.591997174842476,.868301111041606,11,100
WI,-.074512139,-1.0322896,.85061163,.87840003,.665309019690264,.217805692336546,1.33447655721811,1.4611108,.45219103,2.5072043,.0046000001,1.4329506239279,.571624387264053,2.25743329387673,.94022018,-.44897759,2.3297274,.191,1.17046347680977,.24494059691172,2.16378865969458,1,3
ZA,.46842936,.33659977,.60016501,0,.780876205279359,.691549752447369,.867071012012738,.085665703,-.024172638,.18894085,.1206,.516905721236415,.454129903853075,.576064439310308,-.2643694,-.43074042,-.097145677,.0024000001,.916885457268358,.772458306012751,1.02325320362239,18,246
ZI,.62751698,.51081926,.73923117,0,.318935572666802,.276440621210935,.367020841814469,.28733227,.15117711,.41175947,0,.5983316119539011,.510159400838703,.664905072336582,.080229007,-.082797028,.23645645,.31940001,.7189108268486,.5991261224125281,.815506341073812,20,197
