country,station,date,score1,score2,score3,ctryname,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nstations,nstations_str,nstationyears
AC,ACW00011647,1962,.58892429,-.76629275,.21431288,Antigua and Barbuda (1),.48171574,-.5859893,1.5784782,.37799999,.323819396158469,.0189609650898927,.883152480430202,-.68313688,-1.7464321,.37025785,.2022,.356007984026561,.0250552150774988,.913354340940207,.32279384,-1.1675817,1.7672499,.67640001,.603606741920412,.0706200860184205,1.46734919344547,1,1,2
AC,ACW00011647,1963,.43236312,-.57196951,.45686182,Antigua and Barbuda (1),.48171574,-.5859893,1.5784782,.37799999,.323819396158469,.0189609650898927,.883152480430202,-.68313688,-1.7464321,.37025785,.2022,.356007984026561,.0250552150774988,.913354340940207,.32279384,-1.1675817,1.7672499,.67640001,.603606741920412,.0706200860184205,1.46734919344547,1,1,2
AL,ALE00100939,2000,.45920846,.12255324,.21134467,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1969,.74378926,-1.0586307,-.67049366,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1968,.29825184,-.10155071,-.46625903,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1962,.77477479,-.49931449,-.52787787,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1992,.5109601,.24502583,.10206002,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1989,.55869657,.13014635,-.27153823,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1958,.3921724,.29281637,.25744683,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1971,.66472059,-.52084863,-.26343495,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1951,.5822891,-.10596414,.0024624339,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1995,.95624846,-.98540747,-1.177207,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1978,.63504434,-.78164136,-.43460181,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1952,.59194899,-.1032556,-.052392032,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1942,.52374536,.20612246,.11437347,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1995,.41429594,.18124859,.21822466,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1965,.42914498,.0063823438,.30996564,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1979,.52830088,-.63144135,-.62128198,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1955,.65312546,-.91383672,-.50940377,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1973,.58612025,-.39776906,-.8132382,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1959,.50905043,-.53405654,-.17625028,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1963,.554353,-.3397043,-.39310858,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1996,.54635692,-.64960402,-.69203842,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1988,.48472026,.57964796,.16811748,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1971,.59217811,-.29243344,-.2624011,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1964,.48611873,-.43185556,-.18493049,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1954,.50112063,-.65186501,-1.4645667,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1992,.99697196,-.51968849,-1.2335718,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1987,.72938168,-.39289078,-.46877953,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1966,.5354175,-.80320776,-.51256442,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1991,.44316939,.19676323,.17344984,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1960,.57914293,-.49045593,.0088681728,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1954,.40042374,-.12642018,.31139511,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1985,.67604333,-.17456912,-.39988974,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALM00013615,1981,.40796906,.32186645,.26281092,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1980,.52887511,-.35359272,-.045576539,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00100939,1943,.57312733,.27597156,.092168547,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AL,ALE00108905,1956,.41749644,-.45076162,-1.2142206,Albania (3),.57545179,.33219153,.82148159,0,.384778200976019,.277405600096041,.496013054115176,-.26504868,-.53463513,.0056103156,.054400001,.643350644168409,.495050010080985,.839529968838806,-.29574654,-.70104599,.096410662,.14300001,.91064577690461,.651139613413017,1.13475757897754,3,3,36
AQ,AQC00914000,1989,.63024729,-.043104768,.3227593,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914000,1980,.40752634,-2.9295185,.30735835,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914248,1985,.29854292,-2.6076465,.48532557,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914000,1986,.64054668,-.044221308,.23010851,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914005,1985,.93127459,-1.3327752,-.6242466,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914397,1974,.31715706,-1.9582392,.49556306,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914005,1990,1.2381569,-.98510569,-.78159231,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1993,1.1694399,-2.0066264,-.45496124,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,2018,.71962279,.24697514,-.1853238,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1990,1.1559519,-1.884969,-.50148088,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1992,1.173309,-2.0518627,-.48345748,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914397,1976,.55008757,-2.0835114,.16721109,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1983,1.144104,-1.4662701,-.45659515,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914135,1967,.59973246,-3.3024011,-.0057105063,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,2008,1.2632372,-1.8255606,-.59331489,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1979,1.1024859,-1.528088,-.27827337,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914005,1996,1.0162085,-1.4058208,-.48387524,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1978,1.1230168,-2.0284867,-.44214582,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1982,1.1577853,-1.6047251,-.55460447,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,1986,1.2200484,-2.0342987,-.61356133,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914248,1980,.086535916,-3.2182786,.78950417,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,2012,1.2388626,-1.9750264,-.60715538,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914000,1994,1.2661544,-1.7872429,-.92036909,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQW00061705,2000,1.2901562,-1.7217481,-.72347659,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914005,1982,.61534619,-1.5662376,-.45445162,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914902,1961,.61693853,-.027874557,.29968521,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
AQ,AQC00914000,2006,.036894161,-3.724925,.84689701,American Samoa (9),.82174402,.57384425,1.077642,0,.565816798620047,.419668607444135,.74854989109201,-1.8178755,-2.1334136,-1.514325,0,1.13154938035746,.887185700506902,1.3480341574861,-.13930677,-.50761318,.2241867,.44260001,.836800066027656,.63158205720953,1.02963042299401,9,9,42
