ocm,type,est,cilo,cihi,p,category,group,ndocs
ANY,null,4.8829999,1,10,.0684,PLAY,Europe,62
ANY,nhs,10,NA,NA,.0684,PLAY,Europe,62
ANY,null,10.2608,5,16,.144,PLAY,Middle America and the Caribbean,37
ANY,nhs,7,NA,NA,.144,PLAY,Middle America and the Caribbean,37
ANY,null,.249,0,2,0,PLAY,Middle East,6
ANY,nhs,0,NA,NA,0,PLAY,Middle East,6
ANY,null,25.617201,16,36,.008,PLAY,North America,102
ANY,nhs,40,NA,NA,.008,PLAY,North America,102
ANY,null,13.7866,7,22,.5684,PLAY,South America,88
ANY,nhs,12,NA,NA,.5684,PLAY,South America,88
ANY,null,49.591202,37,62,0,PROCESSION,Africa,233
ANY,nhs,142,NA,NA,0,PROCESSION,Africa,233
ANY,null,87.164803,72,104,0,PROCESSION,Asia,215
ANY,nhs,133,NA,NA,0,PROCESSION,Asia,215
ANY,null,7.7336001,3,13,0,PROCESSION,Europe,62
ANY,nhs,28,NA,NA,0,PROCESSION,Europe,62
ANY,null,7.8246002,3,13,.9224,PROCESSION,Middle America and the Caribbean,37
ANY,nhs,8,NA,NA,.9224,PROCESSION,Middle America and the Caribbean,37
ANY,null,.32600001,0,2,0,PROCESSION,Middle East,6
ANY,nhs,0,NA,NA,0,PROCESSION,Middle East,6
ANY,null,12.725,7,20,.002,PROCESSION,North America,102
ANY,nhs,25,NA,NA,.002,PROCESSION,North America,102
ANY,null,11.1058,6,17,.0832,PROCESSION,South America,88
ANY,nhs,17,NA,NA,.0832,PROCESSION,South America,88
ANY,null,111.1564,93,130,0,MOURNING,Africa,233
ANY,nhs,277,NA,NA,0,MOURNING,Africa,233
ANY,null,114.1416,95,134,.2684,MOURNING,Asia,215
ANY,nhs,126,NA,NA,.2684,MOURNING,Asia,215
ANY,null,10.624,5,18,.0004,MOURNING,Europe,62
ANY,nhs,24,NA,NA,.0004,MOURNING,Europe,62
ANY,null,10.2788,5,16,0,MOURNING,Middle America and the Caribbean,37
ANY,nhs,33,NA,NA,0,MOURNING,Middle America and the Caribbean,37
ANY,null,.3452,0,2,.038,MOURNING,Middle East,6
ANY,nhs,3,NA,NA,.038,MOURNING,Middle East,6
