song,func_danc,func_heal,func_love,func_baby,func_dead,func_stor,form_sing,form_gend,form_inst,form_melo,form_rhyt,form_fast,form_beat,form_exci,form_happ,form_plea
76,1.9391304,3.0999999,3.4565217,3.2478261,2.6695652,4.2347827,1.0338984,.66666669,.24590164,2.9577465,3.030303,3.467742,3.4461539,3,3.5076923,3.7272727
77,1.6862745,3.4950981,2.3774509,2.1862745,4.0833335,3.3382354,1,-.94186044,.19117647,2.3974359,2.225352,2.6315789,3.054054,2.1341465,2.5454545,2.2
78,2.5974026,3.5238094,3.0735931,2.909091,2.995671,3.8095238,1.0273973,.33823529,.14925373,3.1500001,3.2,4.2777777,3.65625,3.5194805,3.8888888,3.4133334
79,5.1187215,3.1095891,2.6621006,1.5570776,2.8493152,3.8767123,4.9189191,-.8831169,.73563218,3.3125,3.5060241,4.1038961,4.5692306,4.0759492,4.2261906,3.9142857
80,2.0214593,3.6437769,2.5708156,2.0772531,4.3905578,3.7596567,1.0138888,-.96363634,.40983605,2.8923078,2.6029413,2.6800001,3.7222223,2.6666667,2.6447368,3.0757575
81,1.5911111,4.022222,2.1733334,1.7022222,4.5155554,3.3555555,1.0131578,-1,.07692308,3.0735295,3.3157895,2.9466667,3.1285715,2.2839506,2.6666667,2.5730338
82,5.3937006,2.6850393,3.1299212,1.519685,2.2283463,3.4133859,5.048193,.025641026,.77777779,2.9850745,3.2873564,4.4597702,4.8152175,4.8961039,4.9852943,4.4382024
83,5.3549786,3.034632,3,1.6623377,2.6969697,3.4891775,2.5211267,-.89041096,1.918919,3.6338029,3.8157895,4.5696201,4.4155846,4.2631578,4.6575341,4.0999999
84,2.5272727,3.3954546,2.4681818,1.4181818,3.3909092,4.3227272,1.9,-.93406594,.20224719,3.4827585,3.097826,4.4040403,3.5824175,3.2235293,3.325,2.9166667
85,3.0224216,2.67713,3.9461884,2.3901346,2.4529147,4.224215,1.0405406,-.94805193,1.4285715,3.3292682,3.347826,3.7439024,3.8072288,3.3835616,3.7702703,3.6582279
86,2.8399999,3.3199999,3.1085715,1.9542857,3.1371429,4.3028569,1.03125,-.89999998,.75384617,3.0757575,2.8965516,3.3384616,3.532258,2.6764705,3.5555556,2.9130435
87,1.5726141,3.3278008,2.879668,3.0580914,4.1867218,3.3319502,1,.21875,.1,2.4084506,2.7096775,2.3972602,3.1891892,2.1578948,2.3584905,2.5897436
88,2.2631578,4.1417003,2.3360324,1.8987855,4.1821861,3.3603239,2.2413793,-.95945948,.15254237,3.1643836,3,3.2183907,3.8823528,2.9058824,3.0769231,2.9866667
89,5.1909089,2.8863637,3.25,1.8454546,2.340909,3.840909,4.2413793,.63235295,.83950615,2.9610391,3.1384616,4.52,4.9142857,4.2727275,4.5692306,4.742857
90,4.0510206,3.5969388,2.7091837,1.75,3.3265307,3.6734693,1.05,-.85915494,1.1643835,3.1199999,3.0681818,4.125,4.375,3.5172415,3.8684211,3.5599999
91,5.5330191,2.471698,3.3584905,1.5283018,2.018868,4.0849056,4.3333335,-.27906978,2.1600001,3.9871795,4.025641,4.9222221,4.4242425,4.7826085,4.8441558,4.5783134
92,2.3755655,3.0180995,3.1855204,1.9864253,3.2533937,4.5384617,1.4193548,-.97222221,.11290322,3.1296296,3.1147542,3.6031747,3.3866668,3.3939395,3.652174,3.8196721
93,2.0646551,3.5086207,2.849138,3.2844827,3.0603449,3.7370689,1,.92000002,.91044778,2.8983052,2.9859154,3,3.9298246,2.6714287,3.173913,3.5479453
94,1.9497488,3.5728643,2.5577888,1.6884422,4.3969851,3.2613065,1.1621622,-.86440676,.33333334,2.7857144,2.7419355,3,3.1944444,2.2631578,2.5737705,2.2702703
95,1.3973215,3.6517856,2.2410715,3.0178571,4.7276788,2.59375,1,-.94594592,.082352944,2.1463416,2.1818182,2.2,3.5454545,2.390244,2.2588236,2.609756
96,3.2450981,3.9411764,2.3480392,1.6274509,4.0882354,3.490196,1.030303,-.95061731,1.0483871,3.1126761,3.1014493,4.1999998,3.9166667,3.3188405,3.4666667,3.1333334
97,1.7844827,3.1551723,3.599138,2.8706896,3.6594827,4.125,1,.95238096,.11627907,2.654321,2.7236843,2.7052631,3.7051282,2.8390806,3.0379746,3.4761906
98,3.9914529,2.2606838,4.2649574,2.059829,1.8760684,3.9487178,1.4318181,-.16249999,1.7241379,3.4722223,3.4415584,3.8941176,3.8815789,3.8684211,4.3571429,3.8815789
99,1.6581197,2.8888888,2.9615386,4.2991452,2.3589745,3.8504274,1.0151515,.56164384,.096774191,2.7894738,2.5802469,2.8823528,3.2771084,2.6285715,3.4722223,3.2972972
100,1.5930736,2.943723,3.2077923,3.4372294,2.2683983,4.3030305,1,.9130435,.057971016,2.2089553,2.328125,3.25,3.3571429,2.4000001,3.4310346,2.8358209
101,1.6165049,3.4854369,3.5097086,3.9660194,3.368932,4.1504855,1,-1,.034883723,2.1518986,2.2435896,2.1505377,4.2619047,2.8499999,2.9875,4.1428571
102,3.1848741,4.1890755,2.5504203,1.722689,4.0462184,3.8823528,1.0609756,.1038961,1.0340909,2.9222221,2.8452382,3.4266667,4.3733335,3.2168674,3.1818182,3.4096386
103,3.921659,2.0645161,3.18894,1.8801843,1.686636,4.2903228,2.7105262,-.95238096,.25974026,3.5753424,3.3972602,5,4.0281692,4.2333331,4.7078652,4.3768115
104,1.5627908,2.9906976,2.9255815,1.4744186,4.5441861,3.8372092,1.0210526,-.95348835,.12,3.0147059,2.8313253,2.835294,3.4505494,2.6547618,2.6976745,2.974026
105,1.6798246,3.5789473,3.1096492,2.6666667,3.7719297,4.1008773,1,-.93827158,.079999998,2.5903614,2.3768115,2.5783134,3.840909,2.6538463,2.8333333,3.3763442
106,4.1355934,3.2415254,3.2203391,1.8305085,3.1398306,3.9322033,1.0952381,.90566039,1.1846154,3.0972223,3.0588236,3.8571429,4.4285712,4.2096772,3.9016395,4.0877194
107,2.1227272,4.1181817,2.3681817,1.9681818,4.0090909,3.5727272,1.0135136,-1,.07692308,2.8412697,2.7763157,3.2,3.8450704,2.737705,3.0128205,3.3194444
108,3.4057376,3.8073771,2.3196721,1.8278688,4.3196721,3.352459,3.2236843,.012345679,1.1875,3.1285715,3.0434783,3.7,3.8333333,2.9756098,3.1756756,2.8356164
109,1.7193676,2.9604743,2.7391305,4.2727275,2.5889328,2.486166,1.030303,-.98333335,.15294118,1.9859155,2.1772151,2.4366198,3.6296296,2.3414633,3.410959,3.1463416
110,4.9669809,3.3537736,2.7547169,1.6462264,3.1037736,3.7830188,4.0649352,-.75999999,1.4285715,2.9285715,3.0285714,4.2696629,4.6388888,4.2753625,4.375,4.4507041
111,2.0669856,3.4976077,3.2535884,3.1291866,3.3875599,3.3875599,1.0208334,-.97777778,.26436782,2.3076923,2.3829787,2.6805556,4.2954545,2.5326087,3.1325302,3.4666667
112,3.9070797,3.5663717,2.699115,1.8672566,2.800885,3.6283185,1.2777778,-.96153843,1.1756756,3.6470587,3.9032259,4.3733335,4,3.8133333,4.1323528,3.6451614
113,3.0170212,3.8425531,2.4297872,2.4765956,4.0425534,3.0382979,1.1944444,.27941176,1.0972222,2.8235295,2.7014925,3.0428572,4.2456141,2.8714285,2.9749999,3.4084506
114,1.7090164,3.8196721,2.8360655,2.8319671,4.2090163,3.8196721,1.0694444,-.1780822,.58108109,2.5507247,2.7142856,2.6578948,3.5479453,2.6142857,2.768116,3.121212
115,3.5,3.7479339,2.6404958,1.607438,3.6322315,3.8429751,1.1463414,-.98591548,1.25,3.2625,3.439394,4.2714286,4.6461539,3.3012049,3.2580645,3.1833334
116,2.5045872,3.380734,2.6238532,1.6284404,3.7706423,4.119266,4.3548388,-.98591548,.34482759,3.2666667,3.3625,3.4000001,3.7411764,3.2823529,3.6875,3.5443039
117,1.7638888,2.875,3.5787036,4.060185,2.6712964,3.5833333,1,.94366199,.15294118,2.4400001,2.2753623,2.6125,3.1265824,2.4047618,3.3414633,2.8805971
118,3.8697674,3.8697674,2.6651163,1.6651163,3.6744187,3.5767441,1.0666667,-.91228068,1.0517242,3,2.8441558,3.8095238,4.7971015,3.4461539,3.7027028,4.0540543
