song,duration,number_of_distinct_voices,mean_interval,modal_interval,distance_btwn_modal_intervals,modal_interval_prevalence,rel_strength_modal_intervals,common_intervals_count,amount_of_arpeggiation,stepwise_motion,melodic_thirds,direction_of_motion,duration_of_melodic_arcs,size_of_melodic_arcs,modal_pitch_prev,modal_pitchcls_prev,rel_strength_top_pitches,rel_strength_top_pitchcls,interval_btwn_strongest_pitches,interval_btwn_strongest_pitchcls,number_of_common_pitches,pitch_variety,pitch_class_variety,range,note_density,average_note_duration,maximum_note_duration,minimum_note_duration,variability_of_note_duration,initial_tempo,quality,tonal_certainty_metrics_0,tonal_certainty_metrics_1,tonal_certainty_metrics_2,tonal_certainty_metrics_3,tonal_certainty_metrics_4,tonal_certainty_metrics_5,tonal_certainty_metrics_6,tonal_certainty_metrics_7,tonal_certainty_metrics_8,tonal_certainty_metrics_9,tonal_certainty_metrics_10,tonal_certainty_metrics_11,tonal_certainty_metrics_12,tonal_certainty_metrics_13,tonal_certainty_metrics_14,tonal_certainty_metrics_15,tonal_certainty_metrics_16,tonal_certainty_metrics_17,tonal_certainty_metrics_18,tonal_certainty_metrics_19,tonal_certainty_metrics_20,tonal_certainty_metrics_21,tonal_certainty_metrics_22,tonal_certainty_metrics_23,key1,key2,key3,key4,key5,melodic_interval_histogram_0,melodic_interval_histogram_1,melodic_interval_histogram_2,melodic_interval_histogram_3,melodic_interval_histogram_4,melodic_interval_histogram_5,melodic_interval_histogram_6,melodic_interval_histogram_7,melodic_interval_histogram_8,melodic_interval_histogram_9,melodic_interval_histogram_10,melodic_interval_histogram_11,melodic_interval_histogram_12,melodic_interval_histogram_13,melodic_interval_histogram_14,melodic_interval_histogram_16,melodic_interval_histogram_17
90,185.494,1,2.8636363,0,3,.40909091,.66666669,3,.95454544,0,.46969697,.30769232,1.95,9.1000004,.35365853,.36585367,.75862068,.83333331,3,8,3,8,6,17,.44206282,2.0352426,12.037959,.13679498,2.5816369,109.65314,0,.89183921,.60540712,.54240143,.49459103,.43733713,.30922705,.16130544,.11413123,.006119905,-.028178506,-.02976482,-.036105458,-.089723773,-.094206117,-.14433835,-.18359211,-.23654555,-.29448614,-.29845271,-.31633905,-.376405,-.42981902,-.49406806,-.51033491,8,5,22,4,10,.40909091,0,0,.27272728,.1969697,.015151515,0,.060606062,0,0,0,0,0,0,0,.015151515,.030303029
91,292.66501,2,1.6457812,0,2,.42940685,.66731519,4,.57560569,.3283208,.12781955,.36057693,1.7405858,4.9456067,.12252747,.15604396,.97309417,.80281693,5,5,3,26,12,26,5.4430833,.25670105,2.4187191,.080623969,.19514574,186.04889,0,.53003126,.40646291,.37165886,.24235122,.18564615,.18098292,.10151501,.10110142,.09895464,.075956374,.060054347,-.008060324,-.018379671,-.060068745,-.1005605,-.11697754,-.14794731,-.1988001,-.20344529,-.23919809,-.24133009,-.32675728,-.33573946,-.35745072,12,0,4,19,22,.42940685,.041771095,.28654972,.10025062,.027568921,.091896407,.0033416881,.01754386,0,.00083542202,0,0,.00083542202,0,0,0,0
92,106.436,1,1.3388889,0,2,.40555555,.89041096,3,.46944445,.46666667,.063888893,.47663552,2,4.4859815,.35714287,.35978836,.50370371,.56617647,2,2,3,12,8,17,3.55143,.25992659,1.1353173,.070957333,.15314992,105.69732,1,.68010497,.64742482,.56000519,.52407795,.49264807,.38056403,.31612143,.22717197,.21584266,.16314223,.10148568,.063694701,.018611589,-.11299273,-.1814955,-.24976568,-.30217314,-.34689444,-.47971261,-.48297766,-.52403605,-.52808946,-.56574142,-.61701673,11,18,4,22,1,.40555555,.10555556,.3611111,.063888893,0,.063888893,0,0,0,0,0,0,0,0,0,0,0
93,158.927,1,1.3700305,0,3,.52599388,.64534885,2,.88990825,.09785933,.36391437,.5032258,1.8235294,5.1882353,.49725273,.49725273,.46408841,.46408841,3,3,4,7,7,7,2.2903597,.40171608,2.3632267,.29540333,.27078342,101.55606,1,.77199268,.58286673,.33175084,.30363321,.26717749,.20780958,.19523856,.091785483,.065764844,-.0039245398,-.006971777,-.021630498,-.085204929,-.08546257,-.16090816,-.18167235,-.21755189,-.2245072,-.25736356,-.27452454,-.28443918,-.29677027,-.3425703,-.37451771,15,7,4,22,8,.52599388,.0091743125,.088685013,.33944955,.024464833,.0061162082,.0061162082,0,0,0,0,0,0,0,0,0,0
94,68.782997,1,2.4666667,2,1,.49166667,.33898306,4,.42500001,.50833333,.26666668,.45714286,1.8103448,4.9310346,.33064517,.38709676,.85365856,.72916669,2,10,4,9,8,15,1.8027711,.54124266,4.2914872,.11920797,.59701306,125.83051,1,.68190253,.47549441,.38201037,.37221789,.32241264,.30824953,.2532537,.24742489,.22031935,.11012311,-.043962967,-.045402817,-.093883671,-.12548219,-.13740997,-.14043197,-.15636945,-.20793143,-.31541297,-.34178963,-.39882696,-.4463751,-.4592568,-.46087241,1,11,23,5,19,.125,.016666668,.49166667,.16666667,.1,.06666667,0,.033333331,0,0,0,0,0,0,0,0,0
95,47.497002,1,1.4761904,2,2,.47619048,.60000002,4,.38095239,.61904764,.095238097,.2,3.75,6.5,.38461539,.38461539,.60000002,.60000002,4,4,4,5,5,7,.54740298,1.7473813,4.1301737,.4589082,1.055483,43.581699,0,.58689481,.53878152,.45019561,.39183706,.23697595,.20688897,.19113843,.18052205,.17916326,.16803312,.14096846,.039463364,-.069303155,-.12503394,-.1303988,-.14632337,-.21741833,-.2315155,-.23465383,-.31600797,-.41834646,-.44972983,-.46298748,-.50914395,12,0,23,8,19,.2857143,.14285715,.47619048,0,.095238097,0,0,0,0,0,0,0,0,0,0,0,0
96,98.499001,1,2.6722221,0,3,.43888888,.59493673,3,.83333331,.1,.28333333,.24752475,2.1956522,10.195652,.27722773,.41584158,.78571427,.80952382,3,9,6,7,4,17,2.0507822,.44788691,1.4592445,.18240556,.26739714,82.234337,0,.81488979,.52678138,.50864202,.41476411,.3581112,.33872339,.26402363,.23243935,.13042226,.023178052,-.0095592607,-.036918614,-.081731729,-.12253442,-.14224449,-.16281834,-.20156454,-.20193173,-.23121521,-.3936249,-.47471443,-.48274267,-.53302974,-.53734505,10,22,1,19,5,.43888888,0,.1,.26111111,.022222223,0,0,.06666667,0,.06666667,0,0,.044444446,0,0,0,0
97,135.614,1,1.6860465,2,2,.51162791,.46212122,3,.3488372,.64728683,.07751938,.33502537,2.525641,5.5384617,.21851853,.21851853,.96610171,.96610171,2,2,5,7,7,9,1.9909449,.5022741,2.6418312,.1100763,.44710341,68.13456,1,.84394735,.71318662,.5688467,.40282086,.39501566,.36802316,.3586458,.35452506,.27850834,.20642254,.1971193,.018726783,-.13474952,-.14080995,-.15039366,-.25852326,-.27083206,-.46335626,-.47014591,-.50987154,-.54073209,-.54132706,-.54429233,-.68075448,15,13,5,23,2,.2364341,.13565892,.51162791,.050387599,.027131783,0,.003875969,.034883723,0,0,0,0,0,0,0,0,0
98,180.991,1,1.9640288,0,2,.33093524,.73913044,4,.61151081,.28057554,.2769784,.44086021,1.5897436,4.6495728,.36082473,.36082473,.7904762,.7904762,2,2,4,6,6,8,1.6078148,.61495811,1.6305496,.20381869,.29579943,73.594818,0,.75841475,.6811735,.53035575,.40258726,.30924258,.30688846,.21887384,.21616265,.18482463,.176671,.012664364,.0013193859,-.023440812,-.03701482,-.18847753,-.22204572,-.22219945,-.24052152,-.25771445,-.40066648,-.50887686,-.5452534,-.56964731,-.58331984,11,23,1,19,9,.33093524,.035971224,.24460432,.23381294,.043165468,.10791367,0,.0035971219,0,0,0,0,0,0,0,0,0
99,43.858002,1,1.1578947,0,2,.51127821,.44117647,3,.64661652,.33834586,.12781955,.56923079,1.8055556,4.1666665,.20979021,.20979021,.93333334,.93333334,5,5,5,10,10,11,3.2605226,.28425789,.53485364,.089142278,.1304853,168.27032,0,.80621213,.55770427,.53673333,.50212932,.43779582,.39630821,.33477744,.22290914,.20651759,.13508369,.11157481,-.040978894,-.061512314,-.07155776,-.12291664,-.27881679,-.30313623,-.37640464,-.42000225,-.43038857,-.46097356,-.53861994,-.56288368,-.57955444,21,6,18,1,12,.51127821,.11278196,.22556391,.067669176,.060150377,.0075187972,0,.0075187972,.0075187972,0,0,0,0,0,0,0,0
