song,duration,number_of_distinct_voices,mean_interval,modal_interval,distance_btwn_modal_intervals,modal_interval_prevalence,rel_strength_modal_intervals,common_intervals_count,amount_of_arpeggiation,stepwise_motion,melodic_thirds,direction_of_motion,duration_of_melodic_arcs,size_of_melodic_arcs,modal_pitch_prev,modal_pitchcls_prev,rel_strength_top_pitches,rel_strength_top_pitchcls,interval_btwn_strongest_pitches,interval_btwn_strongest_pitchcls,number_of_common_pitches,pitch_variety,pitch_class_variety,range,note_density,average_note_duration,maximum_note_duration,minimum_note_duration,variability_of_note_duration,initial_tempo,quality,tonal_certainty_metrics_0,tonal_certainty_metrics_1,tonal_certainty_metrics_2,tonal_certainty_metrics_3,tonal_certainty_metrics_4,tonal_certainty_metrics_5,tonal_certainty_metrics_6,tonal_certainty_metrics_7,tonal_certainty_metrics_8,tonal_certainty_metrics_9,tonal_certainty_metrics_10,tonal_certainty_metrics_11,tonal_certainty_metrics_12,tonal_certainty_metrics_13,tonal_certainty_metrics_14,tonal_certainty_metrics_15,tonal_certainty_metrics_16,tonal_certainty_metrics_17,tonal_certainty_metrics_18,tonal_certainty_metrics_19,tonal_certainty_metrics_20,tonal_certainty_metrics_21,tonal_certainty_metrics_22,tonal_certainty_metrics_23,key1,key2,key3,key4,key5,melodic_interval_histogram_0,melodic_interval_histogram_1,melodic_interval_histogram_2,melodic_interval_histogram_3,melodic_interval_histogram_4,melodic_interval_histogram_5,melodic_interval_histogram_6,melodic_interval_histogram_7,melodic_interval_histogram_8,melodic_interval_histogram_9,melodic_interval_histogram_10,melodic_interval_histogram_11,melodic_interval_histogram_12,melodic_interval_histogram_13,melodic_interval_histogram_14,melodic_interval_histogram_16,melodic_interval_histogram_17
1,30.622,2,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,5,1,1,1,0,1.3062505,.76555002,1.1777692,.14722115,.4575713,101.88754,0,.68682587,.68419117,.43618548,.40817195,.27171853,.21359465,.14393117,.07070338,.040637031,-.0026023709,-.046773005,-.049383592,-.096374147,-.14075412,-.14673372,-.23321252,-.26444098,-.26606226,-.26867285,-.2788541,-.2788541,-.28846288,-.28955755,-.30522105,6,5,20,9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,80.890999,2,1.9368421,2,2,.61052632,.1724138,4,.28421053,.7157895,.17894737,.29069766,1.8297873,3.8936169,.31967214,.31967214,1,1,2,2,3,6,6,7,1.4958401,1.1995442,4.5895605,.14342377,1.0513611,52.292591,0,.6322372,.47173622,.41848287,.30544844,.29987806,.28009486,.26121867,.079372101,.062101964,.025338762,-.0025086261,-.0082322331,-.011712337,-.060814895,-.069603942,-.082192488,-.088124178,-.29732153,-.31373453,-.32172364,-.33931491,-.34757647,-.40758163,-.48546776,0,22,7,13,16,.10526316,.10526316,.61052632,.10526316,.073684208,0,0,0,0,0,0,0,0,0,0,0,0
3,81.384003,1,1.4183006,0,3,.54901963,.34523809,3,.77124184,.15686275,.20915033,.30434781,1.8648648,5.6486487,.36206895,.57471263,.58730161,.34,12,9,4,10,6,19,2.1380124,.42110458,1.5957648,.13298039,.27426964,112.79858,1,.8783924,.64132404,.45128939,.40182552,.38681722,.36727166,.27054083,.1867114,.093485765,.066279888,.0092956536,-.011450102,-.037717849,-.09663111,-.11769544,-.25713822,-.28466165,-.29261085,-.29653084,-.4503099,-.45277175,-.45782167,-.49625039,-.50164396,19,4,20,2,17,.54901963,.0065359478,.1503268,.18954249,.019607844,.05882353,.013071895,.013071895,0,0,0,0,0,0,0,0,0
4,163.80701,1,.76565295,0,1,.6583184,.32336956,2,.69946331,.2647585,.032200359,.48167539,1.4469697,3.2272727,.60960001,.60960001,.52493441,.52493441,1,1,2,12,9,19,3.8154657,.23125695,1.1336125,.094467707,.12121705,105.85629,1,.49737221,.46565995,.28827032,.28111896,.2308054,.22915982,.22853807,.2196613,.18904601,.002242401,-.002734283,-.079396963,-.07968843,-.13668521,-.15259415,-.1533248,-.17432481,-.19092612,-.22468017,-.25169387,-.2670843,-.27505806,-.28811795,-.35556528,9,10,2,15,13,.6583184,.21288015,.051878355,.023255814,.008944544,.012522361,.0035778179,.001788909,.001788909,.017889088,.0071556349,0,0,0,0,0,0
5,89.117996,2,2.5219512,2,1,.36585367,.54666668,4,.5219512,.39512196,.29756099,.42105263,1.9213483,5.719101,.25,.26249999,1,.95238096,4,4,5,10,8,15,2.6369534,.50563407,2.8747742,.15970968,.45050743,93.920418,1,.86911631,.83135629,.54946554,.42109314,.41469452,.3617152,.25379029,.2290041,.17869166,.13292168,.038166925,.035658326,-.050778251,-.12165233,-.13954739,-.21020897,-.25077578,-.25892538,-.42303923,-.46760815,-.4794246,-.54247451,-.68114126,-.69009811,22,4,17,5,14,.17560975,.029268293,.36585367,.2,.097560979,.078048781,0,.04878049,.0048780488,0,0,0,0,0,0,0,0
6,152.009,2,1.7117118,2,1,.6267696,.40451744,2,.097812101,.88030887,.027027028,.45429364,1.4764826,2.7137015,.25939393,.25939393,.75700933,.75700933,2,2,5,10,10,11,5.42731,.34280068,4.0267286,.13422428,.41870075,223.5065,0,.72853768,.70508468,.48446169,.47750244,.36696386,.32647049,.19394098,.17400467,.17054094,.12401659,.078537881,.05599419,.014356488,-.02127251,-.050071996,-.24084035,-.28511339,-.33891746,-.34345824,-.38647345,-.466791,-.49669358,-.59837729,-.67240328,0,21,6,15,7,.070785068,.25353926,.6267696,.014157014,.012870013,.020592021,.001287001,0,0,0,0,0,0,0,0,0,0
7,181.63699,2,1.740171,0,2,.37264958,.64678901,4,.60683763,.32649574,.22905983,.40599456,1.4224806,3.9069767,.29302326,.29302326,.69841272,.69841272,2,10,5,9,8,12,3.5510385,.39978242,4.401917,.23167984,.39523143,129.48903,0,.69063067,.68704325,.66856158,.56772125,.31404519,.30310303,.21277301,.16026381,.12033936,.11097646,.08196725,.080025591,-.11672915,-.13921237,-.1496866,-.18676153,-.22469033,-.2455675,-.25171822,-.41892996,-.490242,-.57822835,-.58510894,-.6105755,19,8,13,16,1,.37264958,.085470088,.24102564,.11452992,.11452992,.064957269,.001709402,.0051282048,0,0,0,0,0,0,0,0,0
8,159.21001,2,1.576507,2,2,.3755796,.66255146,4,.39876354,.57805252,.14374034,.40204081,2.2272727,4.6999998,.10555556,.21111111,1,1,5,7,3,19,8,28,4.396709,.41117519,1.5557981,.17286645,.35140812,173.54437,1,.85145539,.61423278,.50510663,.44054347,.41071808,.38983369,.38662666,.36306632,.32368746,.28610188,.14209458,-.098753728,-.1362395,-.15721782,-.17432545,-.18667153,-.27294379,-.2892969,-.49471307,-.5313189,-.53232068,-.58296543,-.59305292,-.66364729,23,2,18,8,7,.24884081,.20247295,.3755796,.14374034,0,.01236476,0,.00618238,.010819165,0,0,0,0,0,0,0,0
9,44.603001,1,3.5211267,3,1,.32394367,.82608694,4,.61971831,.33802816,.47887325,.23943663,2.1515152,7.3939395,.27160493,.27160493,.90909094,.90909094,3,9,4,6,6,8,1.8160213,.5185774,1.7321553,.21651942,.26283315,69.277855,1,.88124818,.61192375,.53606689,.45906517,.45475543,.35918871,.34946913,.16287136,.14971702,.12728967,.00076395,-.010953783,-.045555558,-.10992165,-.20147033,-.2479277,-.3176401,-.31966972,-.35152623,-.38962802,-.40149891,-.47664779,-.59105051,-.62886894,1,21,7,19,6,0,.070422538,.26760563,.32394367,.15492958,0,0,.14084508,.04225352,0,0,0,0,0,0,0,0
10,244.606,1,2.0826874,0,2,.3488372,.92592591,4,.62015504,.32299742,.20930232,.38095239,1.75,5.5138888,.40486726,.43141592,.55737704,.5794872,2,10,4,7,5,14,1.8478696,.48672068,1.96866,.16405499,.31043944,91.432755,0,.77665317,.62775832,.61317861,.51939166,.38061517,.36203948,.24392517,.17357968,.17216901,.066480651,.032984197,.031775005,-.03035876,-.13764979,-.18792348,-.197364,-.2672947,-.30662048,-.37031239,-.43925264,-.47799122,-.48045945,-.55069757,-.55462569,17,9,12,20,2,.3488372,0,.32299742,.11886305,.090439275,.056847546,0,.062015504,0,0,0,0,0,0,0,0,0
11,234.87199,2,2.4307458,1,1,.32876712,.85185188,4,.23287672,.60882801,.1780822,.56357926,1.9480122,4.9541283,.20171674,.20457797,.8865248,.88111889,1,1,4,13,7,22,2.9505432,.64624381,3.1281509,.17378616,.4923003,57.541981,0,.81683302,.74832362,.65218192,.48700327,.42086053,.38589296,.35084814,.24529339,.2123041,.14694664,.12003636,.099120617,-.098586187,-.10459673,-.15942258,-.33718422,-.39358735,-.39473179,-.39582473,-.3971349,-.50112557,-.56944495,-.63679051,-.69721508,8,14,12,3,23,.045662101,.32876712,.28006089,.10806697,.070015222,.11872146,.022831051,.0060882801,.01674277,0,.0030441401,0,0,0,0,0,0
12,150.461,1,1.2821497,0,2,.54702497,.43157893,3,.70633399,.23608445,.15930901,.25847459,2.4081633,6.6938777,.35663083,.39964157,.76884425,.69058293,5,5,4,8,6,21,3.7086022,.24013421,.60426104,.15106526,.088848136,198.58966,1,.82442909,.80023974,.50389391,.44573095,.39161482,.36706653,.36618593,.26284695,.2372907,.20050712,.18155681,-.036059517,-.052409872,-.21413915,-.25480142,-.32912579,-.35140398,-.36630517,-.38574073,-.4423233,-.45220608,-.54190874,-.57172108,-.58321768,18,4,10,23,7,.54702497,0,.23608445,.11516315,.044145875,.057581574,0,0,0,0,0,0,0,0,0,0,0
13,143.166,1,.67540324,0,1,.75403225,.171123,2,.84879035,.12903225,.090725809,.36065573,1.6266667,4.4533334,.37875751,.38276553,.9100529,.93193716,8,4,3,6,4,16,3.4854643,.28690583,1.0674073,.13342591,.10845947,112.42194,0,.73800254,.60197866,.49394861,.41706181,.35406262,.29716581,.16820325,.083712041,.076934181,.029922001,.011747405,-.017006179,-.019505186,-.15403956,-.17701121,-.22832444,-.2428984,-.25846523,-.29773492,-.3023259,-.32491159,-.36405084,-.43171301,-.45475248,11,15,0,16,19,.75403225,.12903225,0,.030241935,.060483869,.0040322579,0,0,.018145161,0,0,0,.0040322579,0,0,0,0
14,109.089,1,1.0935961,0,2,.63546801,.30232558,3,.77832514,.19211823,.1182266,.33783785,2.1142857,6,.27962086,.37914693,.779661,.73750001,7,7,5,7,6,12,1.9342005,.51111764,2.4863589,.15539743,.38769957,96.526688,0,.73779947,.71368718,.70797735,.57216775,.45318398,.32141072,.27816442,.27329135,.22684601,.21362956,.1118457,.082971901,-.048732143,-.080036275,-.19372283,-.31154934,-.42247367,-.46594751,-.46734935,-.48174432,-.48197466,-.56456053,-.56829298,-.60659182,22,0,15,11,8,.63546801,0,.19211823,.098522164,.019704433,.029556651,0,.019704433,0,0,.0049261078,0,0,0,0,0,0
15,30.539,1,2.55,0,3,.31,.67741936,5,.63999999,.20999999,.23999999,.39130434,1.6829268,6.0487804,.25,.39423078,.76923078,.78048778,7,7,5,10,8,17,3.4054816,.27908337,.50477684,.12619421,.098487906,118.8644,0,.83292425,.7557947,.65295297,.51743752,.46994066,.27290601,.27273887,.26577142,.086653933,.071578227,.035669021,-.039430942,-.054222111,-.17629889,-.33121565,-.33419383,-.35016304,-.36887652,-.36959824,-.37553862,-.40405336,-.4208976,-.50166512,-.5082137,17,9,21,0,20,.31,.07,.14,.20999999,.029999999,.13,0,.090000004,.0099999998,.0099999998,0,0,0,0,0,0,0
16,134.912,1,1.2727273,0,3,.62382448,.16582915,2,.84639496,.11285266,.18808778,.44166666,1.5584415,5.2077923,.32317072,.32317072,.5471698,.5471698,5,5,5,10,8,13,2.4312143,.40872201,.85117984,.21279496,.12578461,70.490395,1,.7907691,.75650144,.64558572,.55765945,.41798991,.31619337,.24358027,.17187335,.047348358,.035977744,-.042934775,-.047164246,-.054390907,-.088494003,-.15017736,-.1565741,-.19181839,-.26942325,-.36277732,-.39128408,-.47650424,-.56492394,-.58555752,-.60145456,18,3,6,22,5,.62382448,.050156739,.062695928,.10344828,.084639497,.037617557,.0031347959,.034482758,0,0,0,0,0,0,0,0,0
17,164.017,1,3.3162792,2,3,.28372094,.83606559,3,.42790699,.29767442,.17209302,.47976878,1.73,7.0799999,.24782608,.26521739,.7368421,.96721309,5,2,5,10,7,16,1.4022937,.70965564,1.592398,.39809951,.20856774,37.67902,1,.76737672,.71229231,.5861634,.49887991,.45864075,.45243815,.38752884,.29438996,.20130897,.14146073,.12638088,.08112561,-.017860476,-.14874682,-.1490819,-.36461839,-.37090844,-.4138678,-.4207865,-.45276129,-.51786995,-.60364735,-.6038208,-.6440165,5,22,2,17,7,.19534884,.013953488,.28372094,.088372096,.08372093,.23720931,0,.032558139,.0093023255,.0046511628,.027906977,0,0,0,.023255814,0,0
18,110.004,1,2.344203,2,2,.36231884,.79000002,4,.47826087,.40942028,.19202898,.41624364,2.6266668,8.4666662,.209622,.24054983,.86885244,.87142855,4,5,6,9,6,17,2.6453583,.341701,.64708233,.10784706,.15675117,139.08585,1,.86760223,.676925,.56569231,.53717655,.51308084,.40426031,.29529071,.25800005,.18642953,.15319669,.079566225,.03695396,.016955288,-.073329687,-.19771938,-.26807484,-.27315435,-.39748687,-.43425599,-.44302812,-.50700986,-.62625051,-.68060315,-.69021684,5,15,8,6,22,.28623188,.047101449,.36231884,.19202898,0,.003623188,0,0,0,.10869565,0,0,0,0,0,0,0
19,65.851997,2,2.0042918,2,2,.31330472,.89041096,3,.64377683,.31759655,.36480686,.42857143,2.0487804,5.6341462,.31007752,.31007752,.83749998,.83749998,2,2,3,8,7,12,3.9178765,.24426223,1.1506398,.059007168,.22162278,169.47093,0,.71932507,.59328264,.55425715,.50278229,.34029236,.33277529,.21988368,.19329172,.14982085,.053995337,.038705379,.017604487,-.001536201,-.1233083,-.12947966,-.16587645,-.29385024,-.33456105,-.34022579,-.40027517,-.42402962,-.44346994,-.52918369,-.53022009,20,2,21,4,11,.27896994,.004291845,.31330472,.27896994,.08583691,.038626608,0,0,0,0,0,0,0,0,0,0,0
20,208.274,1,1.5613718,0,3,.54512638,.4437086,2,.87184113,.075812273,.30505416,.50396824,1.4482758,4.9425287,.40847456,.71525425,.75103736,.1492891,12,9,2,11,7,19,2.8328068,.35300678,.64781958,.16195489,.092618376,185.23676,1,.78640866,.6719836,.40369356,.38099614,.29641107,.28958809,.17604649,.12863486,.059327126,.040255677,.0043631461,-.069525599,-.093869045,-.15347831,-.16974853,-.19589069,-.26652363,-.2708073,-.28652033,-.32732445,-.32737523,-.33957556,-.35585144,-.38121825,6,21,2,16,7,.54512638,0,.075812273,.24187726,.063176893,.052346569,0,.018050542,0,0,0,0,.003610108,0,0,0,0
21,45.332001,1,1.8931298,2,2,.49618322,.50769234,3,.35877863,.61832058,.038167939,.32653061,2.0416667,5.0625,.23529412,.23529412,.8125,.8125,3,9,6,6,6,9,3.0000882,.32920843,.5596543,.13991357,.12869166,107.20904,0,.91891211,.78611201,.6207543,.53474462,.52414078,.38753492,.34615758,.289848,.2885741,.20291173,.001247888,-.001397568,-.10743897,-.14308022,-.17062414,-.19443245,-.19999869,-.29638258,-.47397578,-.59094065,-.59209281,-.61248976,-.7419433,-.77614117,23,2,17,9,11,.25190839,.1221374,.49618322,0,.038167939,.015267176,0,.068702288,0,.0076335878,0,0,0,0,0,0,0
22,43.202,1,1.502924,0,4,.52631581,.40000001,3,.82456142,.15789473,.29824561,.30864197,1.8409091,5.681818,.46067417,.46067417,.597561,.597561,4,8,2,7,6,12,4.1201797,.22622205,.81513208,.16302642,.16037296,184.01926,0,.90523672,.58321679,.56416738,.54732525,.53057808,.34248868,.21900967,.11330066,.065387994,.040492091,-.043380089,-.068364397,-.069632195,-.099184938,-.10491125,-.12591793,-.14467683,-.36348259,-.4096145,-.4194015,-.42424327,-.48441982,-.57278645,-.58118755,12,15,5,23,1,.52631581,.0058479528,.15204678,.087719299,.21052632,.01754386,0,0,0,0,0,0,0,0,0,0,0
23,70.553001,1,.52747256,0,5,.88461536,.080745339,1,.90109891,.027472528,0,.61904764,2.0999999,8.6000004,.79166669,.79166669,.18421052,.22368421,5,5,2,4,3,12,2.7213583,.36746353,1.0854307,.27135769,.17286485,110.55518,0,.75712788,.73056787,.42063266,.41047031,.26964346,.25724944,.18366493,.140633,.0739813,.072153948,.010026401,-.085602872,-.10168873,-.19368027,-.19933395,-.24595647,-.24675862,-.28766811,-.31900403,-.31968325,-.32246646,-.32379854,-.33149812,-.34901172,19,3,17,4,6,.88461536,0,.027472528,0,0,.071428575,0,.016483516,0,0,0,0,0,0,0,0,0
24,121.507,1,1.6853448,2,2,.55818963,.55984557,3,.41594827,.55818963,.10344828,.31347963,1.7821229,4.3463688,.44528303,.44528303,.60593218,.60593218,4,8,4,4,4,6,4.3618884,.20100863,2.111496,.09597709,.11890766,156.28729,0,.61385858,.39595208,.33166349,.32121709,.2865853,.20536996,.1450607,.11982261,.041814871,.040808536,-.02889996,-.049403224,-.049604733,-.050130323,-.088018358,-.10229213,-.15038379,-.16543986,-.23808262,-.26164174,-.28096977,-.3035686,-.34494302,-.38877511,19,10,5,18,4,.3125,0,.55818963,0,.10344828,0,.02586207,0,0,0,0,0,0,0,0,0,0
25,111.306,5,2.2904413,2,2,.51838237,.33687943,4,.31801471,.53125,.13419117,.36462882,1.5578232,4.2414966,.23423423,.3003003,.73717946,.75,5,2,4,14,8,22,5.9385839,.41456965,1.3610789,.075615488,.28480208,198.37206,0,.73533672,.69892406,.62813395,.51424092,.49978915,.45450139,.45190939,.39551115,.23510489,.099854462,.099438667,-.00081648497,-.048682462,-.092103355,-.094436079,-.26335225,-.38645202,-.41570058,-.42091945,-.53335828,-.61161536,-.6211496,-.6473605,-.67679834,4,22,1,15,10,.17463236,.012867647,.51838237,.12316176,.011029412,.15073529,0,.0073529412,0,0,0,0,.001838235,0,0,0,0
26,89.789001,1,2.9471698,2,1,.40377358,.48598132,4,.32830188,.43773586,.21886793,.45228216,1.199005,3.8656716,.26449275,.26449275,.91780823,.91780823,3,3,5,11,10,12,3.0738733,.32217926,2.1688163,.10844082,.33788496,69.162148,0,.7729128,.66333097,.62073749,.41498217,.4108153,.37078083,.35569957,.27895868,.18133773,.057305817,.040110614,.0059311669,-.015339306,-.14039221,-.15235993,-.27128786,-.32752886,-.38886943,-.41115281,-.42467612,-.49510068,-.49536687,-.52131361,-.52951545,12,11,20,1,21,.090566039,.033962265,.40377358,.19622642,.02264151,.16981132,.041509435,.018867925,.0075471699,.01509434,0,0,0,0,0,0,0
27,168.612,2,1.1574904,0,2,.50320101,.61832058,2,.62740076,.3559539,.12419974,.28350514,1.8046511,4.1209302,.33449882,.33449882,.73170733,.73170733,2,2,4,6,6,10,5.0886059,.27029261,1.9476633,.069559403,.25609466,107.82151,1,.81215483,.69743341,.51621121,.45102641,.41411361,.41331363,.41175056,.33968398,.19419549,.031430531,.0041625551,-.021314917,-.033565622,-.042481549,-.069630481,-.1174961,-.29045445,-.3092469,-.44390994,-.51770306,-.55769575,-.56757098,-.62889659,-.68550992,5,16,4,11,19,.50320101,.044814341,.31113955,.089628682,.034571063,.016645327,0,0,0,0,0,0,0,0,0,0,0
28,56.063999,1,1.8113208,0,5,.46226415,.46938777,4,.56603771,.21698113,.10377359,.31578946,1.9,6.2333331,.26984128,.34920636,.91176468,.75,5,7,4,10,7,20,2.2474315,.40959191,1.1138543,.092821196,.20657954,80.800514,0,.7362712,.63755977,.59079868,.5903247,.49500346,.46208608,.35422951,.33963522,.19698603,.16106828,.12901777,.12177546,-.049068041,-.10079544,-.21276347,-.27257016,-.40974587,-.43580216,-.45236018,-.5368278,-.53715444,-.58481234,-.60035455,-.62250161,23,3,20,1,13,.46226415,.018867925,.1981132,.10377359,0,.21698113,0,0,0,0,0,0,0,0,0,0,0
29,172.53101,1,1.6282723,1,1,.513089,.76530612,2,.094240837,.90575916,.094240837,.4764398,2.4025156,3.8930817,.29292929,.29292929,.94827586,.94827586,1,1,3,10,9,12,2.2952397,.43001136,.89859897,.22464974,.20541178,66.770607,1,.62336582,.55334663,.3779752,.37100452,.30880126,.3056758,.19660921,.18480304,.13287959,.089792982,.064952865,.047302615,-.075504586,-.088654324,-.13507861,-.14313246,-.23127849,-.25065336,-.28845409,-.32396793,-.34766668,-.36871022,-.45694226,-.54646659,1,20,10,15,8,0,.513089,.39267015,.047120418,.047120418,0,0,0,0,0,0,0,0,0,0,0,0
30,127.407,1,2.0558293,2,1,.37274221,.74889868,3,.30706075,.65188837,.13136289,.49429658,1.9553903,4.6431227,.23717949,.23717949,.8445946,.92567569,4,4,5,8,7,14,4.8976903,.19929121,.79546511,.066288762,.10896151,226.2827,1,.80049056,.60422152,.5808714,.50820774,.47349557,.27912787,.18391035,.17393872,.15658772,.078961305,.059512813,.049437266,-.011949825,-.053392932,-.14345488,-.21550664,-.31184179,-.32957113,-.3360303,-.43012375,-.49800453,-.50349665,-.53111154,-.58427882,7,20,5,16,4,.136289,.27914613,.37274221,.049261086,.082101807,.032840721,0,.029556651,.0082101813,0,0,0,.0098522166,0,0,0,0
31,44.499001,1,1.9102564,2,1,.37179488,.93103451,3,.6025641,.37179488,.34615386,.48275861,1.6111112,3.9444444,.31034482,.31034482,.92592591,.92592591,2,2,4,5,5,9,1.9551001,.46805498,.83960378,.20990095,.21514602,142.92456,0,.67229605,.61578858,.59037995,.51745605,.4536218,.32165509,.31896523,.2864773,.26373726,.21423526,.003987201,-.018493112,-.0317102,-.035772998,-.20641583,-.25880215,-.28551537,-.29114521,-.40132216,-.48596242,-.50076443,-.57665652,-.58005542,-.58598393,15,6,21,0,17,.25641024,0,.37179488,.34615386,0,.025641026,0,0,0,0,0,0,0,0,0,0,0
32,40.172001,1,3,0,5,.36250001,.62068963,4,.66250002,.075000003,.26249999,.41176471,2.2173913,9.913043,.27586207,.48275861,.875,.5,9,9,4,5,4,12,2.1656876,.42159522,1.1644058,.14555073,.28177956,103.05685,0,.78883648,.76392531,.6650452,.53689498,.47530249,.22207579,.15332897,.092737101,.079030506,.0034874829,-.015309457,-.019961594,-.027486091,-.15398167,-.17465034,-.22503129,-.23274022,-.28756952,-.36414951,-.4154833,-.42068496,-.42321843,-.50915664,-.51124132,6,22,1,13,16,.36250001,0,.075000003,.1125,.15000001,.22499999,0,0,0,.037500001,0,0,.037500001,0,0,0,0
33,291.733,1,.2586605,0,5,.94611239,.053702198,1,.94611239,.0030792919,0,.52857143,1.3725491,6.4901962,.9476015,.9476015,.052959502,.052959502,5,7,1,4,4,7,4.6446581,.20658174,.5452953,.090882555,.070199341,165.04817,0,.72114742,.70791358,.43048424,.40941316,.26843855,.20259054,.19830327,.1050866,.0568702,.0057768691,.000290214,-.070773229,-.10029939,-.165308,-.16601619,-.2557787,-.26307628,-.27801138,-.28678542,-.28961328,-.29974532,-.30129072,-.3022778,-.32733899,22,10,20,0,14,.94611239,.0015396459,.0015396459,0,0,.050808314,0,0,0,0,0,0,0,0,0,0,0
34,130.205,1,.73253012,0,4,.78313255,.19076923,2,.93253011,.06746988,.1493976,.47777778,1.0714285,3.5714285,.7873832,.7873832,.20771514,.20771514,4,4,2,3,3,4,3.2871242,.29999205,1.8084028,.075350113,.20196038,99.535347,0,.74139982,.59182364,.5057978,.3662768,.25666776,.20727441,.1880863,.11720439,-.037771787,-.051182274,-.051188659,-.052848585,-.090751365,-.099498548,-.14842783,-.15976411,-.22975074,-.24347676,-.24788493,-.25862983,-.29225123,-.32411996,-.3351517,-.35183266,22,6,7,14,10,.78313255,0,.06746988,0,.1493976,0,0,0,0,0,0,0,0,0,0,0,0
35,255.009,2,2.3450413,2,1,.30785123,.83221477,3,.53099173,.37603307,.3429752,.369863,1.752,5.1999998,.21846154,.21846154,.90845072,.90845072,5,5,5,8,8,10,2.3763866,.47119355,1.9083929,.11927456,.25829259,125.76027,0,.65822726,.61513323,.6099335,.39510152,.35981542,.35459235,.34925184,.34852496,.16283178,.15768546,.048668269,.0042742998,-.0189099,-.12345035,-.13376568,-.14426665,-.2073627,-.25361133,-.33054119,-.46348566,-.46899512,-.59118044,-.61622262,-.71224827,19,0,16,10,9,.18181819,.06818182,.30785123,.25619835,.08677686,.055785123,.037190083,.0061983471,0,0,0,0,0,0,0,0,0
36,134.89799,2,1.6146789,0,3,.51070338,.4790419,3,.80428135,.17125383,.24464832,.2,2.5,8,.28032345,.48247978,.72115386,.53631288,12,3,3,8,5,17,2.750226,.33264592,.80137426,.26712474,.14189185,224.61415,1,.88097084,.5815134,.47143802,.45576131,.38782898,.38605592,.28750658,.22559829,.14561088,.060082521,.056518842,.0056010871,-.044689719,-.098673746,-.11471385,-.24558939,-.26009881,-.29041556,-.32985321,-.48213243,-.48939121,-.49986127,-.54242742,-.54664004,19,3,16,11,4,.51070338,0,.17125383,.24464832,0,.024464833,0,.024464833,0,0,.024464833,0,0,0,0,0,0
37,116.163,1,.91935486,1,1,.91935486,.087719299,1,.080645159,.91935486,0,.5,1.0088495,1,.60416669,.60416669,.65517241,.65517241,1,1,2,2,2,1,1.2396374,.80668747,1.9959278,.19959278,.46860343,75.153015,0,.48351112,.48069975,.28266144,.26733834,.24781872,.23523414,.22186324,.21778394,.17805275,.011437357,-.003052759,-.071787924,-.11051299,-.1381059,-.14387967,-.1448358,-.15935801,-.19838455,-.2191713,-.25434095,-.26900512,-.2866205,-.29064527,-.33670008,18,5,10,9,3,.080645159,.91935486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,144.733,1,2.0163043,0,2,.27717391,.92156863,4,.67391306,.31521741,.38586956,.39849624,2.4181819,6.6909089,.39712918,.39712918,.61445785,.61445785,4,4,3,7,7,10,1.4440384,.64425927,2.2973492,.19144577,.50956863,78.351173,0,.85136884,.74105763,.54857916,.41253853,.38961947,.33698416,.16747075,.082951456,.028245905,.020888008,.018331496,.017093047,-.017772228,-.15037605,-.16640081,-.17352593,-.18355626,-.21835077,-.35114941,-.38050792,-.4018918,-.48149633,-.53369206,-.55640888,13,6,15,18,0,.27717391,.059782609,.25543478,.23913044,.14673913,0,.010869565,.010869565,0,0,0,0,0,0,0,0,0
39,80.899002,1,2.1809211,0,2,.27631578,.91666669,4,.47039473,.33552632,.18421052,.37727273,1.9298246,5.7894735,.44761905,.44761905,.4609929,.4609929,3,3,4,6,6,10,3.893744,.25021821,1.84912,.11557,.15376803,129.79147,0,.76454437,.72466141,.55433226,.46307182,.38131815,.19344762,.14045928,.11077742,.10835211,.092214167,.085843936,.061492983,.0088832481,-.15590942,-.20862626,-.23582141,-.27088091,-.29040617,-.35329714,-.36765781,-.40617996,-.45768327,-.45863751,-.48429886,13,11,23,0,18,.27631578,.082236841,.25328946,.18421052,0,.19407895,0,.0098684207,0,0,0,0,0,0,0,0,0
40,125.424,2,1.9750831,2,2,.3754153,.8761062,4,.50166112,.3754153,.16943522,.48514852,1.3741497,4.0170069,.33084947,.33084947,.61711711,.61711711,2,2,5,7,6,12,5.3498535,.30254227,.96977317,.080814436,.19007562,92.805206,1,.75321281,.73972148,.50502342,.40494722,.40120712,.37709278,.35404518,.32323411,.27877539,.1063048,.0082516074,-.04419845,-.088612147,-.097770929,-.14089023,-.14177839,-.22776628,-.23908871,-.44898024,-.49476838,-.52598196,-.57089972,-.60001272,-.63106781,8,11,19,1,21,.32890365,0,.3754153,.091362126,.078073092,.12292359,0,.0033222591,0,0,0,0,0,0,0,0,0
